Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Roger Mason Jr.,New Orleans,1,0,0,3,1-4,0-0,17:51,0,1,+0,3,1,1-2,3,0
Dominic McGuire,New Orleans,0,0,0,2,1-5,1-2,11:05,2,0,+0,3,1,0-0,4,1
Robin Lopez,New Orleans,1,0,0,2,4-8,0-0,20:00,1,2,+0,8,0,0-0,3,1
Ryan Anderson,New Orleans,2,0,0,1,9-16,1-2,33:41,5,3,+0,26,2,7-10,6,1
Al-Farouq Aminu,New Orleans,1,0,0,3,0-1,0-0,8:07,2,0,+0,0,0,0-0,5,0
Xavier Henry,New Orleans,0,0,0,1,0-2,0-0,15:20,0,1,+0,0,1,0-0,1,2
Greivis Vasquez,New Orleans,11,0,0,7,9-20,3-3,45:49,1,2,+0,23,0,2-7,8,6
Lance Thomas,New Orleans,2,0,0,3,4-5,0-0,16:51,4,2,+0,8,0,0-0,7,0
Anthony Davis,New Orleans,1,1,0,4,5-10,5-6,33:47,1,1,+0,15,0,0-0,5,2
Austin Rivers,New Orleans,2,0,0,1,3-8,1-2,33:13,0,3,+0,8,0,1-1,1,1
Brian Roberts,New Orleans,0,0,0,0,0-1,0-0,4:16,0,0,+0,0,0,0-0,0,0
Jared Jeffries,Portland,0,0,0,0,0-0,0-0,0:22,0,0,+0,0,0,0-0,0,0
Sasha Pavlovic,Portland,1,0,0,3,2-6,0-0,15:57,1,1,+0,4,1,0-1,4,0
Ronnie Price,Portland,3,0,0,1,1-2,0-0,19:34,0,0,+0,2,1,0-0,1,0
LaMarcus Aldridge,Portland,1,1,0,0,8-17,4-4,37:25,3,1,+0,20,1,0-0,3,1
J.J. Hickson,Portland,3,1,0,8,10-14,4-6,30:43,8,1,+0,24,0,0-0,16,4
Nicolas Batum,Portland,10,5,0,5,4-11,0-0,42:13,0,3,+0,11,5,3-9,5,2
Victor Claver,Portland,1,0,0,1,1-2,0-0,12:06,0,1,+0,3,0,1-2,1,1
Wesley Matthews,Portland,0,0,0,0,1-1,0-0,3:30,0,0,+0,3,0,1-1,0,0
Luke Babbitt,Portland,1,0,0,2,4-7,0-0,26:36,0,0,+0,10,0,2-5,2,1
Damian Lillard,Portland,4,1,0,2,5-14,2-2,38:35,0,3,+0,16,1,4-10,2,1
Meyers Leonard,Portland,0,0,0,0,0-0,0-0,5:47,0,2,+0,0,0,0-0,0,0
Will Barton,Portland,1,0,0,0,1-6,0-0,7:12,2,0,+0,2,0,0-1,2,0
