Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Roger Mason Jr.,New Orleans,1,0,0,2,1-3,0-0,16:05,0,0,+0,3,3,1-1,2,0
Jason Smith,New Orleans,0,1,0,4,5-11,3-6,16:16,4,3,+0,13,0,0-0,8,0
Eric Gordon,New Orleans,0,0,0,2,5-8,4-4,28:59,0,0,+0,17,1,3-3,2,5
Robin Lopez,New Orleans,1,1,0,0,3-7,1-1,14:32,1,0,+0,7,0,0-0,1,0
Ryan Anderson,New Orleans,3,0,0,5,5-10,4-4,30:47,1,3,+0,16,0,2-4,6,1
Al-Farouq Aminu,New Orleans,2,0,0,10,4-7,0-1,32:18,2,3,+0,8,0,0-1,12,0
Xavier Henry,New Orleans,1,0,0,0,1-2,0-2,4:15,1,2,+0,2,0,0-0,1,0
Greivis Vasquez,New Orleans,11,1,0,4,6-13,1-1,34:27,1,2,+0,15,0,2-4,5,3
Lance Thomas,New Orleans,0,0,0,0,0-0,0-0,1:59,0,1,+0,0,0,0-0,0,0
Anthony Davis,New Orleans,2,1,0,7,3-7,3-4,30:44,0,4,+0,9,1,0-0,7,2
Austin Rivers,New Orleans,1,0,0,0,1-7,0-0,18:06,0,2,+0,2,0,0-2,0,2
Brian Roberts,New Orleans,2,0,0,2,4-6,0-0,11:32,0,0,+0,10,1,2-2,2,0
Stephen Jackson,San Antonio,3,1,0,1,6-10,0-0,28:50,0,4,+0,15,0,3-7,1,1
Manu Ginobili,San Antonio,5,1,0,1,3-7,3-5,16:54,0,2,+0,9,3,0-0,1,1
Tony Parker,San Antonio,13,0,0,2,10-18,4-7,36:28,2,1,+0,24,1,0-1,4,1
Boris Diaw,San Antonio,3,0,0,3,0-1,0-2,27:34,1,1,+0,0,1,0-0,4,1
Matt Bonner,San Antonio,0,1,0,4,3-7,0-1,21:00,0,3,+0,7,0,1-5,4,1
Tiago Splitter,San Antonio,1,0,0,7,10-11,5-6,32:19,0,1,+0,25,2,0-0,7,1
DeJuan Blair,San Antonio,0,0,0,4,1-1,0-2,6:51,0,0,+0,2,0,0-0,4,0
Danny Green,San Antonio,0,0,0,6,5-11,0-0,28:40,1,4,+0,12,2,2-4,7,1
Nando De Colo,San Antonio,2,0,0,3,2-3,0-0,14:17,1,1,+0,4,0,0-1,4,1
Gary Neal,San Antonio,2,0,0,2,3-11,0-0,27:06,1,3,+0,8,0,2-7,3,0
