Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Anthony Davis,New Orleans,1,0,1,5,7-14,5-7,35:11,2,5,-4,19,3,0-0,7,2
Al-Farouq Aminu,New Orleans,0,0,1,3,1-3,1-2,19:15,2,1,-24,3,0,0-1,5,1
Alexis Ajinca,New Orleans,0,0,0,0,1-3,0-0,9:17,1,1,-16,2,0,0-0,1,1
Brian Roberts,New Orleans,2,0,0,3,7-14,1-1,27:46,0,1,-16,18,2,3-4,3,2
Eric Gordon,New Orleans,2,1,1,0,5-12,0-0,26:24,0,1,-14,10,0,0-1,0,1
Tyreke Evans,New Orleans,10,0,0,4,10-14,3-6,32:12,1,2,+12,23,3,0-1,5,2
Anthony Morrow,New Orleans,0,0,0,2,3-6,1-1,21:36,0,2,+7,8,0,1-1,2,1
Austin Rivers,New Orleans,4,0,0,4,1-3,5-8,20:14,0,4,+9,7,0,0-0,4,2
Luke Babbitt,New Orleans,0,3,0,3,2-4,0-0,19:36,0,4,+21,6,0,2-4,3,1
Greg Stiemsma,New Orleans,2,0,0,2,1-2,0-0,15:13,2,4,-6,2,0,0-0,4,1
Jeff Withey,New Orleans,0,0,0,1,1-2,1-1,13:16,1,1,-4,3,0,0-0,2,0
Terrence Ross,Toronto,0,1,1,3,5-8,0-0,34:45,1,0,+19,14,0,4-5,4,1
Patrick Patterson,Toronto,2,0,0,5,7-11,5-6,32:52,1,4,+19,22,0,3-5,6,1
Jonas Valanciunas,Toronto,0,1,0,7,3-7,3-4,29:58,1,5,+17,9,0,0-0,8,1
DeMar DeRozan,Toronto,4,0,1,2,7-21,7-10,40:21,0,2,+5,22,1,1-5,2,3
Kyle Lowry,Toronto,12,0,0,2,8-13,2-2,38:48,5,2,+19,19,2,1-4,7,2
John Salmons,Toronto,2,0,0,0,0-3,4-4,16:51,1,2,-10,4,1,0-1,1,0
Tyler Hansbrough,Toronto,0,0,1,6,4-6,4-6,14:34,0,0,+8,12,0,0-0,6,1
Greivis Vasquez,Toronto,2,0,1,0,1-4,1-1,13:15,0,2,-12,3,0,0-2,0,2
Steve Novak,Toronto,0,1,0,2,1-2,0-0,11:44,0,2,-14,3,0,1-2,2,0
Chuck Hayes,Toronto,0,0,0,0,0-1,0-0,6:52,0,1,-16,0,2,0-0,0,0
