Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jason Kidd,New York,0,0,0,6,2-4,0-0,23:03,0,2,+0,5,1,1-3,6,0
Kenyon Martin,New York,0,1,0,1,4-7,1-2,25:24,4,4,+0,9,0,0-0,5,0
Carmelo Anthony,New York,1,0,0,2,10-30,7-9,35:50,6,4,+0,29,3,2-8,8,3
J.R. Smith,New York,1,0,0,3,13-24,5-5,34:29,4,3,+0,32,3,1-3,7,0
Raymond Felton,New York,3,0,0,3,3-6,0-0,31:41,0,1,+0,6,2,0-1,3,1
James White,New York,0,1,0,0,0-0,0-0,2:40,0,0,+0,0,0,0-0,0,0
Steve Novak,New York,0,1,0,1,3-6,0-0,17:44,0,1,+0,9,0,3-6,1,0
Iman Shumpert,New York,1,0,0,2,1-3,0-0,26:26,1,2,+0,2,1,0-2,3,0
Chris Copeland,New York,0,0,0,5,0-4,1-2,12:50,0,3,+0,1,0,0-2,5,2
Pablo Prigioni,New York,5,0,0,3,3-6,0-0,29:53,0,4,+0,7,2,1-3,3,2
Paul Pierce,Boston,6,1,0,6,5-10,5-7,35:55,0,3,+0,16,1,1-4,6,6
Jason Terry,Boston,0,0,0,1,4-8,0-0,22:02,0,1,+0,10,1,2-4,1,1
Chris Wilcox,Boston,0,1,0,0,0-1,0-0,8:59,0,1,+0,0,0,0-0,0,0
Brandon Bass,Boston,1,3,0,5,5-6,1-1,28:10,2,0,+0,11,0,0-0,7,3
Shavlik Randolph,Boston,0,0,0,3,1-1,0-2,5:19,1,1,+0,2,1,0-0,4,0
Jeff Green,Boston,6,1,0,9,6-14,6-6,39:02,1,4,+0,19,1,1-4,10,2
DJ White,Boston,0,0,0,0,0-0,0-0,2:40,0,0,+0,0,0,0-0,0,0
Terrence Williams,Boston,1,0,0,4,2-7,3-4,22:37,1,1,+0,7,1,0-0,5,0
Avery Bradley,Boston,0,0,0,1,3-11,0-0,34:08,2,2,+0,6,0,0-2,3,1
Jordan Crawford,Boston,6,0,0,4,5-11,2-2,41:08,0,3,+0,14,1,2-6,4,6
