Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Iman Shumpert,New York,2,0,0,3,4-9,3-4,31:11,1,4,+9,11,3,0-2,4,2
Amar'e Stoudemire,New York,0,1,0,2,3-4,8-9,20:35,1,2,+14,14,0,0-0,3,1
Tyson Chandler,New York,1,0,0,1,1-1,0-0,5:11,0,0,+6,2,0,0-0,1,0
J.R. Smith,New York,3,1,0,6,3-8,5-6,22:57,1,2,+17,14,1,3-7,7,3
Raymond Felton,New York,2,1,0,3,3-8,0-0,21:12,1,2,+9,8,2,2-4,4,3
Tim Hardaway Jr.,New York,0,0,0,0,5-10,2-2,35:55,0,4,+0,16,0,4-5,0,0
Shannon Brown,New York,1,0,0,0,4-7,6-6,30:22,1,2,+0,14,1,0-0,1,0
Cole Aldrich,New York,0,1,0,10,4-6,5-5,25:37,3,5,+0,13,1,0-0,13,2
Toure' Murry,New York,5,0,1,1,2-8,3-4,21:55,0,2,-2,9,3,2-3,1,0
Jeremy Tyler,New York,1,1,0,2,3-5,2-4,20:12,0,5,-2,8,0,0-0,2,3
Pablo Prigioni,New York,0,0,0,0,0-1,0-0,4:53,0,0,+4,0,0,0-0,0,2
Andrei Kirilenko,Brooklyn,4,0,1,3,2-6,0-0,25:55,3,4,-13,4,2,0-0,6,2
Paul Pierce,Brooklyn,1,0,0,0,4-8,4-6,20:32,1,5,-12,13,1,1-2,1,2
Kevin Garnett,Brooklyn,0,0,0,2,0-4,0-0,14:47,0,3,-6,0,0,0-0,2,0
Joe Johnson,Brooklyn,4,0,0,5,3-9,4-7,30:36,1,1,-19,12,1,2-5,6,0
Deron Williams,Brooklyn,1,0,0,1,4-9,1-1,29:32,1,1,-11,10,1,1-4,2,3
Mason Plumlee,Brooklyn,4,0,1,6,7-9,2-4,30:22,3,2,-12,16,1,0-0,9,1
Marcus Thornton,Brooklyn,2,0,0,2,7-15,6-8,30:06,1,2,-3,24,1,4-10,3,2
Jorge Gutierrez,Brooklyn,4,0,3,2,2-7,0-0,26:58,0,4,+3,5,1,1-2,2,1
Andray Blatche,Brooklyn,1,0,0,3,2-4,3-3,19:26,1,2,+5,8,1,1-2,4,6
Marquis Teague,Brooklyn,4,1,0,1,1-2,2-2,8:55,0,1,+6,4,1,0-0,1,2
Jason Collins,Brooklyn,0,0,0,1,1-2,0-0,2:51,1,1,+7,2,0,0-0,2,0
