Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carmelo Anthony,New York,3,0,0,2,8-17,3-3,38:25,0,3,-10,21,0,2-4,2,4
Iman Shumpert,New York,1,1,1,4,1-6,0-0,19:37,1,2,-9,3,0,1-3,5,3
Tyson Chandler,New York,2,3,0,14,3-5,2-4,40:01,8,2,-15,8,0,0-0,22,1
Raymond Felton,New York,4,0,2,1,2-10,4-4,30:31,1,2,-15,8,0,0-1,2,2
Pablo Prigioni,New York,3,1,0,0,0-1,2-2,17:09,0,2,-16,2,0,0-0,0,0
J.R. Smith,New York,2,0,1,1,6-12,1-2,27:49,0,2,-17,13,0,0-2,1,0
Tim Hardaway Jr.,New York,1,0,0,2,5-14,2-2,25:19,0,2,-9,14,0,2-8,2,0
Amar'e Stoudemire,New York,0,0,0,5,7-8,0-0,22:48,1,6,+0,14,0,0-0,6,1
Shannon Brown,New York,0,0,0,0,0-1,0-0,4:39,0,1,-1,0,0,0-0,0,0
Earl Clark,New York,0,0,0,0,0-1,0-0,4:39,0,1,-1,0,0,0-0,0,0
Jeremy Tyler,New York,0,0,0,1,2-2,0-0,4:39,0,0,-1,4,0,0-0,1,0
Toure' Murry,New York,1,0,1,2,1-2,1-1,4:24,1,0,-1,3,0,0-0,3,1
Mike Dunleavy,Chicago,3,0,0,7,4-9,1-1,30:59,0,1,+26,10,1,1-3,7,0
Carlos Boozer,Chicago,2,0,1,4,6-13,2-2,24:00,3,3,+22,14,1,0-1,7,0
Joakim Noah,Chicago,14,2,0,7,4-10,5-8,37:27,5,0,+23,13,2,0-0,12,1
Jimmy Butler,Chicago,4,0,0,4,5-13,9-14,41:42,2,3,+16,19,3,0-4,6,1
Kirk Hinrich,Chicago,3,1,1,2,4-6,0-0,30:50,0,1,+28,11,0,3-4,2,0
Taj Gibson,Chicago,2,1,3,2,6-15,1-2,27:30,3,0,-4,13,0,0-0,5,0
D.J. Augustin,Chicago,0,0,0,2,7-10,5-6,26:02,1,3,-2,23,1,4-5,3,1
Tony Snell,Chicago,0,0,0,1,2-4,0-0,11:19,0,0,-11,4,1,0-2,1,0
Erik Murphy,Chicago,1,1,0,0,0-2,0-0,3:55,0,1,-3,0,0,0-2,0,0
Jimmer Fredette,Chicago,0,0,0,2,1-2,0-0,3:08,0,0,+0,2,0,0-1,2,0
Tornike Shengelia,Chicago,1,0,0,0,0-0,0-0,3:08,0,0,+0,0,0,0-0,0,0
