Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andrea Bargnani,New York,0,2,1,5,3-9,0-0,31:48,2,2,-23,6,0,0-1,7,2
Carmelo Anthony,New York,1,1,2,4,8-17,9-9,31:22,3,1,-16,28,0,3-3,7,2
Tyson Chandler,New York,3,1,1,7,4-8,5-8,26:00,2,3,-15,13,0,0-0,9,1
Raymond Felton,New York,5,0,0,4,5-10,1-1,29:08,0,3,-19,12,2,1-3,4,4
Iman Shumpert,New York,2,0,0,4,1-4,0-0,20:10,1,3,-10,2,0,0-3,5,0
J.R. Smith,New York,1,0,0,4,6-12,0-0,27:50,0,3,-18,12,0,0-3,4,1
Tim Hardaway Jr.,New York,0,0,1,0,2-10,0-0,21:15,0,3,-6,4,0,0-5,0,1
Beno Udrih,New York,4,1,0,0,0-3,0-0,16:14,0,0,-10,0,0,0-1,0,1
Amar'e Stoudemire,New York,0,0,0,2,3-6,2-4,14:00,1,2,-12,8,0,0-0,3,0
Kenyon Martin,New York,0,0,0,0,0-1,0-0,7:10,0,1,-6,0,0,0-0,0,0
Jeremy Tyler,New York,0,0,0,2,2-3,0-0,6:56,2,1,-6,4,0,0-0,4,0
Cole Aldrich,New York,0,1,0,2,0-0,0-0,5:29,1,0,+0,0,0,0-0,3,0
Toure' Murry,New York,0,0,1,0,0-2,0-0,2:38,0,0,+1,0,0,0-0,0,0
Paul George,Indiana,3,1,0,6,8-17,5-5,33:08,1,2,+14,25,0,4-8,7,2
David West,Indiana,4,2,1,2,6-11,0-0,27:01,1,1,+10,12,0,0-0,3,2
Roy Hibbert,Indiana,3,1,1,4,4-9,3-4,26:55,2,4,+20,11,1,0-0,6,0
Lance Stephenson,Indiana,4,0,0,3,10-17,5-5,35:14,1,4,+30,28,1,3-7,4,0
George Hill,Indiana,5,0,0,3,1-2,1-1,22:05,0,2,+18,3,1,0-1,3,0
C.J. Watson,Indiana,0,0,1,2,2-5,0-0,22:10,1,0,+8,5,0,1-2,3,1
Ian Mahinmi,Indiana,0,2,1,3,1-4,2-2,21:05,0,2,+8,4,0,0-0,3,0
Danny Granger,Indiana,4,0,1,2,4-7,2-2,19:33,0,1,+13,11,0,1-2,2,0
Luis Scola,Indiana,1,0,1,7,4-8,2-2,15:30,0,2,+18,10,0,0-1,7,0
Chris Copeland,Indiana,0,0,0,3,1-1,1-2,5:29,1,1,+0,4,0,1-1,4,0
Rasual Butler,Indiana,0,0,0,0,0-3,0-0,5:27,0,0,+0,0,0,0-1,0,0
Donald Sloan,Indiana,2,0,0,1,1-1,0-0,3:45,0,0,+2,2,0,0-0,1,0
Orlando Johnson,Indiana,0,0,0,0,1-1,0-0,2:38,0,0,-1,2,0,0-0,0,0
