Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carmelo Anthony,New York,4,1,2,11,10-20,5-5,38:40,1,5,+10,27,1,2-4,12,3
Andrea Bargnani,New York,1,1,1,1,3-8,4-4,22:19,2,2,+19,10,0,0-1,3,2
Tyson Chandler,New York,0,1,0,5,2-5,0-0,21:54,1,3,+5,4,0,0-0,6,0
Beno Udrih,New York,7,0,0,1,4-9,2-2,32:17,1,0,+7,10,1,0-2,2,2
Iman Shumpert,New York,1,0,0,4,10-13,1-1,31:09,2,2,+10,27,3,6-8,6,2
J.R. Smith,New York,3,0,1,5,2-5,0-0,28:45,0,4,-5,4,0,0-1,5,2
Amar'e Stoudemire,New York,0,2,0,1,4-6,3-4,23:36,2,2,-15,11,0,0-0,3,2
Toure' Murry,New York,2,0,0,2,2-3,0-0,15:10,0,1,+0,5,2,1-1,2,0
Kenyon Martin,New York,0,0,0,0,2-6,0-0,13:54,0,4,-4,4,0,0-0,0,0
Tim Hardaway Jr.,New York,1,0,0,1,0-1,3-4,12:16,0,0,-7,3,0,0-0,1,0
Tim Duncan,San Antonio,2,2,2,6,3-8,3-4,31:43,1,0,-6,9,0,0-0,7,1
Kawhi Leonard,San Antonio,4,1,2,3,1-5,5-8,28:07,1,4,-9,8,1,1-3,4,1
Tiago Splitter,San Antonio,1,0,0,2,3-6,0-0,19:12,3,2,-8,6,1,0-0,5,2
Tony Parker,San Antonio,7,0,1,3,5-13,1-2,34:20,0,3,-10,12,0,1-2,3,1
Marco Belinelli,San Antonio,2,0,0,4,12-16,2-2,32:40,1,1,+0,32,0,6-9,5,2
Manu Ginobili,San Antonio,12,1,0,2,4-11,2-3,28:24,0,2,+16,11,2,1-6,2,3
Danny Green,San Antonio,1,0,0,0,2-7,0-0,18:31,0,1,-7,4,1,0-5,0,0
Patty Mills,San Antonio,0,0,0,0,3-4,0-0,13:40,1,1,+6,8,0,2-2,1,0
Matt Bonner,San Antonio,0,0,0,2,3-5,0-0,12:50,0,0,+5,9,0,3-5,2,0
Boris Diaw,San Antonio,0,0,0,0,0-0,0-0,10:48,1,0,-11,0,0,0-0,1,2
Jeff Ayres,San Antonio,0,0,0,3,1-2,0-0,9:45,1,2,+4,2,0,0-0,4,0
