Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Serge Ibaka,Oklahoma City,0,3,0,8,9-14,9-9,42:09,5,3,-3,27,0,0-0,13,3
Kevin Durant,Oklahoma City,8,0,2,6,5-13,8-9,41:54,1,5,-2,20,0,2-6,7,5
Steven Adams,Oklahoma City,0,0,0,0,1-1,1-2,14:10,0,2,-10,3,0,0-0,0,1
Russell Westbrook,Oklahoma City,5,0,0,7,13-20,3-5,35:58,2,3,-3,31,3,2-5,9,5
Thabo Sefolosha,Oklahoma City,1,0,0,7,3-8,1-1,33:39,2,0,+1,9,0,2-3,9,0
Reggie Jackson,Oklahoma City,3,0,1,4,5-9,2-2,22:22,1,0,+10,12,0,0-1,5,3
Nick Collison,Oklahoma City,1,0,2,2,1-5,0-0,20:37,2,1,-8,2,1,0-0,4,1
Jeremy Lamb,Oklahoma City,1,0,0,0,3-9,0-0,18:02,0,1,-1,9,0,3-7,0,0
Perry Jones,Oklahoma City,1,0,0,0,1-1,0-0,7:02,0,0,+3,2,0,0-0,0,0
Hasheem Thabeet,Oklahoma City,0,0,0,1,0-0,0-0,4:07,0,2,+8,0,0,0-0,1,1
Andre Iguodala,Golden State,9,1,0,1,5-6,2-2,37:25,0,5,+5,14,1,2-2,1,0
David Lee,Golden State,3,0,2,1,10-22,0-0,35:34,3,2,+0,20,1,0-0,4,2
Andrew Bogut,Golden State,2,0,1,5,3-7,0-0,29:02,2,4,-1,6,3,0-0,7,1
Stephen Curry,Golden State,9,0,0,5,8-22,2-3,43:07,0,4,-4,22,1,4-8,5,2
Klay Thompson,Golden State,2,3,0,3,10-15,1-1,38:02,2,3,+0,27,0,6-9,5,0
Harrison Barnes,Golden State,1,0,0,3,6-14,3-4,23:04,0,2,+3,16,1,1-3,3,2
Jermaine O'Neal,Golden State,0,1,0,2,0-2,4-4,17:09,0,1,+5,4,3,0-0,2,0
Draymond Green,Golden State,0,0,0,1,2-4,0-0,10:05,2,1,+2,4,1,0-0,3,0
Marreese Speights,Golden State,0,0,0,1,1-2,0-0,6:32,0,0,-5,3,1,1-1,1,0
