Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Durant,Oklahoma City,10,0,1,5,8-18,15-17,41:49,1,4,-9,33,2,2-6,6,5
Serge Ibaka,Oklahoma City,1,0,0,2,6-6,1-1,16:36,0,0,+0,13,0,0-0,2,1
Steven Adams,Oklahoma City,0,1,0,2,3-4,1-2,21:26,2,2,-5,7,0,0-0,4,1
Russell Westbrook,Oklahoma City,10,0,1,2,7-18,3-5,34:49,2,2,-2,19,2,2-4,4,5
Thabo Sefolosha,Oklahoma City,1,1,0,3,2-5,3-3,34:40,0,5,-4,7,6,0-2,3,4
Reggie Jackson,Oklahoma City,4,0,0,3,2-6,4-4,25:02,0,2,-6,9,1,1-1,3,2
Nick Collison,Oklahoma City,0,0,0,4,2-2,0-0,20:08,1,5,+5,4,0,0-0,5,0
Hasheem Thabeet,Oklahoma City,0,0,0,4,2-4,0-1,14:27,1,3,-11,4,0,0-0,5,0
Jeremy Lamb,Oklahoma City,1,0,1,1,0-5,0-0,13:49,1,2,-2,0,1,0-1,2,1
Perry Jones,Oklahoma City,0,1,0,1,2-3,0-0,6:26,0,0,+6,5,0,1-1,1,0
Ryan Gomes,Oklahoma City,0,0,0,0,1-1,0-0,5:58,0,4,-5,2,0,0-0,0,1
Derek Fisher,Oklahoma City,0,0,1,0,0-3,0-0,4:50,0,0,-7,0,0,0-1,0,2
Blake Griffin,LA Clippers,7,0,0,6,8-14,6-9,37:59,6,5,+8,22,3,0-0,12,5
Jared Dudley,LA Clippers,1,0,0,1,3-8,3-4,30:54,2,4,+7,10,0,1-5,3,3
DeAndre Jordan,LA Clippers,0,2,1,6,6-8,3-4,32:09,3,3,+2,15,2,0-0,9,3
Chris Paul,LA Clippers,16,1,1,7,5-15,4-4,40:52,0,1,+10,14,3,0-6,7,2
J.J. Redick,LA Clippers,2,0,1,2,5-13,3-3,25:44,0,4,+10,15,1,2-5,2,1
Jamal Crawford,LA Clippers,2,1,0,2,7-13,3-4,26:53,1,2,-1,20,2,3-7,3,5
Darren Collison,LA Clippers,1,0,0,0,3-6,2-2,16:34,2,1,-2,8,4,0-1,2,1
Ryan Hollins,LA Clippers,0,0,0,0,2-2,0-0,10:31,1,1,+8,4,0,0-0,1,0
Matt Barnes,LA Clippers,0,0,0,1,0-5,0-0,7:48,3,1,-6,0,0,0-2,4,1
Reggie Bullock,LA Clippers,0,0,0,3,0-1,2-2,5:34,0,0,+12,2,0,0-1,3,1
Byron Mullens,LA Clippers,1,0,0,4,0-1,1-2,5:03,0,1,-8,1,0,0-1,4,0
