Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Derek Fisher,Oklahoma City,0,0,0,2,1-5,0-0,26:03,0,3,+0,3,0,1-4,2,1
Nick Collison,Oklahoma City,1,3,0,1,3-5,4-4,21:38,2,6,+0,10,1,0-0,3,1
Kendrick Perkins,Oklahoma City,1,2,0,0,1-5,0-0,24:16,2,5,+0,2,1,0-0,2,1
Kevin Martin,Oklahoma City,1,0,0,5,6-12,5-5,25:48,0,2,+0,18,0,1-3,5,1
Thabo Sefolosha,Oklahoma City,0,0,0,4,1-4,3-4,29:26,1,2,+0,5,1,0-2,5,1
Kevin Durant,Oklahoma City,7,1,0,7,10-27,2-3,48:19,0,2,+0,27,1,5-7,7,4
Serge Ibaka,Oklahoma City,1,3,0,11,6-13,4-4,36:56,3,3,+0,17,0,1-1,14,1
Hasheem Thabeet,Oklahoma City,0,0,0,2,0-0,0-0,4:41,0,2,+0,0,0,0-0,2,1
Reggie Jackson,Oklahoma City,8,1,0,4,6-8,2-2,47:53,0,5,+0,15,0,1-3,4,4
Keyon Dooling,Memphis,0,0,0,0,0-0,0-0,4:20,0,0,+0,0,0,0-0,0,0
Zach Randolph,Memphis,3,1,0,6,8-17,7-8,40:20,6,3,+0,23,0,0-0,12,2
Tayshaun Prince,Memphis,5,0,0,3,3-7,2-2,35:04,1,4,+0,8,0,0-0,4,1
Tony Allen,Memphis,2,0,0,4,5-9,0-0,33:43,2,5,+0,10,3,0-0,6,1
Mike Conley,Memphis,5,0,0,2,7-21,6-7,48:40,1,3,+0,24,4,4-10,3,1
Marc Gasol,Memphis,0,6,0,8,8-18,7-9,48:24,3,3,+0,23,0,0-0,11,2
Jerryd Bayless,Memphis,3,0,0,3,3-9,1-1,26:49,0,4,+0,9,0,2-5,3,0
Darrell Arthur,Memphis,0,0,0,2,2-5,2-2,16:23,0,1,+0,6,1,0-1,2,0
Quincy Pondexter,Memphis,0,0,0,0,0-3,0-0,11:17,0,0,+0,0,0,0-1,0,0
