Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nick Collison,Oklahoma City,2,0,0,2,2-3,2-2,19:27,2,3,+0,6,1,0-0,4,0
Kendrick Perkins,Oklahoma City,1,0,0,5,1-5,2-2,25:41,0,4,+0,4,2,0-0,5,4
Kevin Martin,Oklahoma City,1,0,0,2,4-10,5-6,34:59,0,3,+0,15,1,2-5,2,2
Thabo Sefolosha,Oklahoma City,2,0,0,3,0-1,0-0,27:38,0,3,+0,0,2,0-1,3,0
Kevin Durant,Oklahoma City,3,0,0,6,11-21,9-11,38:52,1,4,+0,33,0,2-4,7,4
Russell Westbrook,Oklahoma City,3,0,0,5,5-19,10-12,43:21,6,4,+0,21,2,1-4,11,5
Serge Ibaka,Oklahoma City,0,1,0,4,6-10,3-4,36:54,2,3,+0,15,0,0-1,6,0
Reggie Jackson,Oklahoma City,2,0,0,1,1-2,1-1,13:08,0,1,+0,3,0,0-1,1,1
Ray Allen,Miami,1,0,0,3,1-5,4-4,22:21,1,3,+0,7,0,1-5,4,0
Mike Miller,Miami,2,0,0,2,2-4,0-0,7:14,0,0,+0,6,0,2-3,2,0
Shane Battier,Miami,0,1,0,0,0-5,0-0,23:30,0,4,+0,0,0,0-4,0,2
LeBron James,Miami,9,1,0,5,12-20,5-5,41:52,3,3,+0,29,2,0-3,8,3
Chris Bosh,Miami,2,0,0,4,6-11,4-4,30:36,2,3,+0,16,0,0-2,6,2
Dwyane Wade,Miami,3,0,0,3,8-17,4-4,38:22,2,3,+0,21,0,1-3,5,5
Udonis Haslem,Miami,0,0,0,2,1-2,0-0,16:21,0,3,+0,2,1,0-0,2,0
Joel Anthony,Miami,0,2,0,3,0-0,2-2,12:31,1,1,+0,2,2,0-0,4,0
Mario Chalmers,Miami,2,1,0,3,8-14,0-0,37:27,0,3,+0,20,1,4-8,3,0
Norris Cole,Miami,1,0,0,0,0-2,0-0,9:47,0,3,+0,0,0,0-0,0,1
