Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Durant,Oklahoma City,5,0,0,7,12-24,7-7,43:55,0,2,-4,34,0,3-9,7,4
Serge Ibaka,Oklahoma City,2,3,0,4,7-11,4-4,37:27,1,4,+3,18,1,0-0,5,1
Steven Adams,Oklahoma City,0,0,0,1,0-0,0-0,11:21,0,2,+12,0,0,0-0,1,0
Russell Westbrook,Oklahoma City,9,0,1,7,13-22,6-6,30:28,2,1,+16,36,4,4-9,9,3
Perry Jones,Oklahoma City,0,0,0,0,0-2,0-0,10:30,0,3,+13,0,0,0-1,0,0
Caron Butler,Oklahoma City,1,0,0,1,4-11,2-2,29:16,0,4,-23,14,0,4-8,1,0
Derek Fisher,Oklahoma City,0,0,1,1,2-4,0-0,22:23,0,0,-3,5,1,1-2,1,0
Reggie Jackson,Oklahoma City,3,0,0,2,2-8,0-0,17:32,1,2,-22,4,0,0-1,3,1
Andre Roberson,Oklahoma City,1,1,0,1,0-0,0-0,13:25,1,3,-11,0,0,0-0,2,0
Jeremy Lamb,Oklahoma City,0,0,0,0,3-6,0-0,13:10,0,3,-2,7,1,1-3,0,0
Nick Collison,Oklahoma City,0,0,0,2,2-2,0-0,10:33,2,3,-9,4,0,0-0,4,0
P.J. Tucker,Phoenix,4,0,0,7,2-3,2-2,42:37,2,4,+5,7,2,1-2,9,1
Channing Frye,Phoenix,2,1,0,2,4-8,2-2,23:10,3,0,-11,11,0,1-3,5,2
Alex Len,Phoenix,0,0,0,0,2-3,2-3,11:11,3,5,-12,6,0,0-0,3,0
Gerald Green,Phoenix,2,1,1,5,12-22,9-11,40:44,0,3,+11,41,3,8-13,5,3
Goran Dragic,Phoenix,4,0,2,2,8-18,4-7,34:59,0,3,-14,22,0,2-4,2,2
Markieff Morris,Phoenix,3,0,0,5,8-13,8-10,29:54,1,5,+13,24,1,0-1,6,3
Marcus Morris,Phoenix,2,0,0,3,5-7,2-2,28:43,0,2,+29,15,0,3-4,3,0
Ish Smith,Phoenix,4,0,0,7,1-5,0-0,19:51,1,1,+11,2,0,0-0,8,1
Shavlik Randolph,Phoenix,0,0,1,2,0-1,0-2,5:23,1,1,+1,0,0,0-0,3,2
Archie Goodwin,Phoenix,0,0,0,0,0-0,0-0,3:28,0,0,-3,0,0,0-0,0,0
