Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Durant,Oklahoma City,5,2,0,7,14-34,17-19,45:11,0,2,-12,48,4,3-13,7,0
Perry Jones,Oklahoma City,0,0,0,2,0-1,0-0,15:23,1,3,-10,0,0,0-1,3,0
Kendrick Perkins,Oklahoma City,1,0,2,1,3-7,0-0,16:26,4,3,-13,6,1,0-0,5,2
Reggie Jackson,Oklahoma City,6,0,1,2,6-14,7-10,42:03,3,1,-3,20,4,1-4,5,4
Thabo Sefolosha,Oklahoma City,1,0,2,1,2-7,0-0,20:23,1,2,-8,4,0,0-2,2,0
Nick Collison,Oklahoma City,3,0,0,2,3-3,1-2,30:00,4,2,+1,8,0,1-1,6,2
Jeremy Lamb,Oklahoma City,0,0,0,4,4-14,0-0,27:14,0,4,+5,9,2,1-8,4,0
Derek Fisher,Oklahoma City,0,0,1,2,1-6,0-0,20:47,0,5,+0,2,0,0-5,2,1
Steven Adams,Oklahoma City,0,0,0,3,2-3,0-0,12:03,2,3,-10,4,0,0-0,5,1
Andre Roberson,Oklahoma City,2,0,0,1,0-0,0-0,10:30,0,2,-5,0,2,0-0,1,0
Marvin Williams,Utah,1,0,0,4,4-7,2-2,31:50,0,6,-1,12,1,2-4,4,2
Richard Jefferson,Utah,4,1,1,1,3-6,2-2,29:04,0,4,+13,10,0,2-5,1,0
Derrick Favors,Utah,0,3,0,5,6-9,3-4,36:31,0,4,+14,15,0,0-0,5,2
Gordon Hayward,Utah,7,1,0,11,13-16,9-13,37:10,0,0,+11,37,2,2-3,11,4
Trey Burke,Utah,6,0,0,6,4-12,1-2,37:00,0,2,+6,10,2,1-4,6,3
Alec Burks,Utah,1,1,1,4,3-4,3-4,26:18,0,0,+0,9,0,0-0,4,3
Enes Kanter,Utah,0,0,0,2,4-8,2-2,13:20,3,2,+1,10,0,0-0,5,1
Diante Garrett,Utah,2,0,0,0,0-0,0-0,11:00,0,0,+5,0,1,0-0,0,2
Brandon Rush,Utah,1,0,0,1,2-4,0-0,10:50,0,1,+0,5,0,1-2,1,0
Jeremy Evans,Utah,0,0,0,3,1-2,2-2,6:57,0,1,+6,4,0,0-0,3,0
