Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Beno Udrih,Orlando,8,0,0,4,8-23,2-3,41:14,3,2,+0,20,1,2-5,7,2
Nikola Vucevic,Orlando,0,1,0,10,8-17,1-3,39:04,5,4,+0,17,2,0-0,15,3
Tobias Harris,Orlando,1,0,0,8,5-18,0-0,39:42,2,4,+0,11,2,1-4,10,2
E'Twaun Moore,Orlando,1,0,0,1,0-5,4-6,16:32,0,2,+0,4,0,0-1,1,1
Maurice Harkless,Orlando,2,1,0,2,6-10,4-8,42:38,2,3,+0,17,3,1-3,4,3
Andrew Nicholson,Orlando,0,0,0,2,3-5,3-4,11:32,2,2,+0,9,0,0-0,4,3
Doron Lamb,Orlando,0,0,0,1,0-1,0-0,6:46,1,0,+0,0,1,0-0,2,1
Kyle O'Quinn,Orlando,0,1,0,6,1-4,0-0,22:34,1,6,+0,2,0,0-0,7,2
DeQuan Jones,Orlando,0,1,0,2,3-4,2-3,19:58,1,2,+0,8,1,0-0,3,0
Dahntay Jones,Atlanta,0,0,0,3,0-1,1-2,12:43,0,2,+0,1,0,0-0,3,0
Kyle Korver,Atlanta,2,0,0,6,3-7,1-1,18:28,0,4,+0,8,0,1-3,6,1
Devin Harris,Atlanta,6,0,0,4,5-7,5-9,34:01,0,0,+0,17,1,2-3,4,2
Josh Smith,Atlanta,2,3,0,7,7-14,7-9,40:27,2,3,+0,21,2,0-2,9,4
Johan Petro,Atlanta,2,1,0,3,3-7,0-0,18:08,4,4,+0,6,0,0-0,7,1
Anthony Tolliver,Atlanta,0,0,0,3,3-8,1-1,28:31,0,2,+0,8,1,1-5,3,1
Jeff Teague,Atlanta,3,1,0,1,3-14,1-1,31:41,0,3,+0,7,2,0-4,1,2
Shelvin Mack,Atlanta,2,0,0,1,3-6,0-0,20:56,0,2,+0,8,0,2-4,1,3
Ivan Johnson,Atlanta,1,1,0,7,7-14,7-8,34:28,3,3,+0,21,3,0-0,10,1
Mike Scott,Atlanta,0,0,0,0,0-0,0-0,0:37,0,1,+0,0,0,0-0,0,1
