Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jason Maxiell,Orlando,2,1,1,0,4-9,2-2,30:49,1,3,-9,10,0,0-0,1,2
Maurice Harkless,Orlando,1,0,1,0,4-10,2-4,26:38,5,2,-13,12,1,2-3,5,3
Nikola Vucevic,Orlando,4,1,2,6,6-11,3-3,28:54,4,2,-5,15,3,0-0,10,2
Arron Afflalo,Orlando,7,0,1,4,6-12,4-5,38:39,0,1,-7,18,0,2-5,4,4
Jameer Nelson,Orlando,5,0,0,3,3-10,2-2,24:11,2,1,-2,10,0,2-5,5,1
Victor Oladipo,Orlando,2,0,2,1,7-17,2-2,26:49,0,2,-10,17,2,1-3,1,1
E'Twaun Moore,Orlando,2,0,0,3,4-6,3-3,24:52,0,3,-14,11,1,0-1,3,2
Kyle O'Quinn,Orlando,3,1,0,4,0-2,2-2,23:08,2,0,-11,2,0,0-0,6,1
Andrew Nicholson,Orlando,0,1,0,1,4-7,0-0,13:09,0,4,-5,8,0,0-1,1,2
Ronnie Price,Orlando,1,0,0,1,1-1,0-0,2:51,0,0,+1,2,0,0-0,1,0
Brandon Bass,Boston,2,1,0,2,5-12,0-0,30:07,2,3,+3,10,0,0-0,4,1
Jeff Green,Boston,1,0,0,3,5-9,5-5,28:52,1,3,-7,16,0,1-2,4,3
Kelly Olynyk,Boston,5,1,0,6,7-9,0-0,26:01,1,4,+1,16,1,2-3,7,2
Jordan Crawford,Boston,10,0,0,4,7-12,2-2,32:36,1,3,+15,16,1,0-1,5,0
Avery Bradley,Boston,0,0,1,0,10-15,4-4,29:03,0,3,+12,24,3,0-1,0,3
Jared Sullinger,Boston,3,2,1,4,7-9,0-1,25:28,1,1,+17,14,1,0-1,5,1
Gerald Wallace,Boston,5,0,0,2,0-1,1-2,19:25,0,0,+20,1,3,0-0,2,1
Courtney Lee,Boston,0,1,1,1,5-8,1-1,18:57,1,1,+3,12,1,1-1,2,0
Phil Pressey,Boston,2,0,1,2,3-6,0-0,15:07,0,1,+2,7,0,1-1,2,2
Vitor Faverani,Boston,0,2,0,4,2-4,0-0,14:24,1,0,+9,4,1,0-2,5,0
