Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Hedo Turkoglu,Orlando,0,0,0,0,2-5,0-0,11:51,0,1,+0,4,1,0-3,0,1
Jameer Nelson,Orlando,7,0,0,3,3-12,0-0,37:56,1,3,+0,9,2,3-8,4,3
J.J. Redick,Orlando,10,0,0,5,2-13,0-0,37:32,1,0,+0,5,1,1-8,6,3
Glen Davis,Orlando,3,0,0,3,6-13,3-5,38:57,2,2,+0,15,1,0-0,5,1
Ish Smith,Orlando,0,0,0,1,0-1,2-2,4:20,0,0,+0,2,0,0-1,1,0
Nikola Vucevic,Orlando,1,2,0,6,9-13,0-0,37:47,3,3,+0,18,0,0-0,9,1
E'Twaun Moore,Orlando,0,0,0,0,0-2,0-0,9:20,0,1,+0,0,1,0-2,0,3
Gustavo Ayon,Orlando,1,2,0,2,1-3,0-0,10:53,0,1,+0,2,0,0-0,2,0
Maurice Harkless,Orlando,2,0,0,3,7-10,0-0,34:05,1,1,+0,16,3,2-4,4,2
Andrew Nicholson,Orlando,0,0,0,2,0-1,0-0,4:01,1,0,+0,0,0,0-0,3,1
Kyle O'Quinn,Orlando,0,1,0,0,2-3,0-0,4:20,2,0,+0,4,0,0-0,2,0
DeQuan Jones,Orlando,0,0,0,0,0-3,2-2,8:58,0,0,+0,2,0,0-1,0,0
Joe Johnson,Brooklyn,5,0,0,2,5-10,1-1,30:09,0,1,+0,13,1,2-4,2,1
Gerald Wallace,Brooklyn,3,0,0,3,3-3,0-0,26:12,1,0,+0,7,0,1-1,4,3
Reggie Evans,Brooklyn,1,0,0,7,0-2,0-0,19:42,3,1,+0,0,1,0-0,10,3
Keith Bogans,Brooklyn,0,0,0,4,4-7,0-0,19:32,0,1,+0,12,1,4-7,4,1
Kris Humphries,Brooklyn,0,0,0,4,0-4,3-4,16:37,3,3,+0,3,1,0-0,7,1
Deron Williams,Brooklyn,9,1,0,3,8-12,0-0,33:54,0,0,+0,20,0,4-7,3,1
Andray Blatche,Brooklyn,0,1,0,3,3-11,2-3,20:04,1,2,+0,8,1,0-1,4,2
C.J. Watson,Brooklyn,3,0,0,0,2-5,0-0,14:06,2,0,+0,5,0,1-4,2,0
Brook Lopez,Brooklyn,0,1,0,4,6-8,4-4,27:56,1,3,+0,16,0,0-0,5,4
MarShon Brooks,Brooklyn,1,0,0,1,4-8,0-0,17:51,1,0,+0,8,3,0-2,2,2
Tyshawn Taylor,Brooklyn,1,0,0,1,0-0,0-0,2:16,0,1,+0,0,0,0-0,1,0
Mirza Teletovic,Brooklyn,0,0,0,1,2-4,0-0,11:41,0,1,+0,5,0,1-3,1,2
