Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jameer Nelson,Orlando,6,1,0,3,7-13,1-2,30:52,1,5,+0,16,0,1-4,4,1
J.J. Redick,Orlando,3,0,0,4,4-10,3-3,30:34,0,2,+0,14,0,3-9,4,1
Arron Afflalo,Orlando,3,0,0,5,8-14,3-3,37:24,1,3,+0,20,0,1-2,6,2
Glen Davis,Orlando,2,0,0,3,7-11,6-8,34:25,1,5,+0,20,0,0-0,4,2
Ish Smith,Orlando,0,0,0,0,0-0,0-0,2:25,0,0,+0,0,0,0-0,0,0
Nikola Vucevic,Orlando,2,1,0,9,6-10,1-1,31:25,4,1,+0,13,0,0-0,13,4
E'Twaun Moore,Orlando,5,2,0,0,3-9,0-0,21:46,2,2,+0,6,1,0-2,2,1
Gustavo Ayon,Orlando,3,0,0,2,3-4,2-2,13:41,2,1,+0,8,0,0-0,4,2
Maurice Harkless,Orlando,1,4,0,3,1-1,0-0,20:59,0,3,+0,2,0,0-0,3,1
Andrew Nicholson,Orlando,0,0,0,3,4-7,0-0,16:29,0,3,+0,8,0,0-0,3,0
Brendan Haywood,Charlotte,0,0,0,1,2-3,0-0,16:01,1,1,+0,4,0,0-0,2,1
Ben Gordon,Charlotte,3,0,0,3,3-6,0-0,12:50,0,1,+0,6,0,0-2,3,0
Ramon Sessions,Charlotte,2,0,0,1,5-10,4-6,25:13,0,1,+0,14,0,0-1,1,1
Gerald Henderson,Charlotte,4,0,0,4,5-15,6-6,34:06,0,2,+0,16,2,0-0,4,1
Byron Mullens,Charlotte,1,1,0,3,4-11,3-6,36:32,1,0,+0,12,1,1-3,4,2
Bismack Biyombo,Charlotte,1,3,0,4,4-8,0-0,40:19,5,2,+0,8,0,0-0,9,2
Kemba Walker,Charlotte,7,0,0,2,11-20,8-9,37:44,0,1,+0,32,1,2-5,2,2
Michael Kidd-Gilchrist,Charlotte,0,3,0,4,1-4,1-2,21:05,1,4,+0,3,0,0-0,5,2
Jeffery Taylor,Charlotte,0,0,0,1,1-1,0-0,16:10,0,4,+0,3,0,1-1,1,0
