Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Beno Udrih,Orlando,7,0,0,4,10-17,4-4,36:08,1,1,+0,27,2,3-5,5,4
Nikola Vucevic,Orlando,3,2,0,11,8-14,0-0,40:13,4,2,+0,16,2,0-0,15,4
Tobias Harris,Orlando,3,2,0,9,5-17,2-2,44:32,2,3,+0,12,1,0-1,11,2
E'Twaun Moore,Orlando,4,0,0,1,1-6,2-2,13:42,1,1,+0,4,0,0-1,2,1
Maurice Harkless,Orlando,0,2,0,0,0-1,0-0,8:22,0,1,+0,0,0,0-0,0,0
Andrew Nicholson,Orlando,0,0,0,4,2-4,2-2,25:10,1,1,+0,6,0,0-0,5,1
Doron Lamb,Orlando,1,0,0,1,1-5,1-3,28:02,0,2,+0,3,1,0-0,1,0
Kyle O'Quinn,Orlando,0,0,0,3,4-5,0-0,7:47,1,1,+0,8,0,0-0,4,0
DeQuan Jones,Orlando,0,1,0,2,3-11,3-4,36:04,0,3,+0,10,0,1-3,2,1
Nazr Mohammed,Chicago,1,3,0,7,1-6,3-4,31:21,4,2,+0,5,0,0-0,11,0
Vladimir Radmanovic,Chicago,2,1,0,3,3-3,0-0,23:07,1,3,+0,7,2,1-1,4,0
Carlos Boozer,Chicago,4,0,0,8,6-16,0-0,39:02,1,3,+0,12,2,0-0,9,6
Kirk Hinrich,Chicago,4,1,0,3,5-9,1-1,34:21,0,1,+0,13,2,2-5,3,1
Luol Deng,Chicago,2,1,0,3,5-18,7-7,41:21,1,0,+0,19,1,2-5,4,1
Nate Robinson,Chicago,5,0,0,3,8-17,0-0,28:09,0,3,+0,19,1,3-7,3,3
Jimmy Butler,Chicago,1,0,0,1,5-13,2-2,42:39,2,0,+0,12,2,0-2,3,0
