Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Beno Udrih,Orlando,6,0,0,3,4-12,5-5,42:39,1,4,+0,13,2,0-3,4,2
Nikola Vucevic,Orlando,6,2,0,13,10-20,1-3,42:25,8,3,+0,21,0,0-0,21,2
Tobias Harris,Orlando,2,0,0,7,11-19,4-6,41:07,5,2,+0,26,2,0-3,12,1
E'Twaun Moore,Orlando,1,0,0,1,0-7,2-2,15:51,2,2,+0,2,2,0-3,3,1
Maurice Harkless,Orlando,1,1,0,3,3-12,1-2,38:57,1,2,+0,7,2,0-2,4,3
Andrew Nicholson,Orlando,4,2,0,3,4-12,0-0,25:32,1,1,+0,8,0,0-0,4,3
Doron Lamb,Orlando,0,0,0,1,1-2,0-0,7:10,0,0,+0,3,0,1-1,1,1
Kyle O'Quinn,Orlando,1,2,0,3,1-2,0-0,14:53,1,2,+0,2,0,0-0,4,1
DeQuan Jones,Orlando,0,0,0,0,0-4,3-4,11:26,0,1,+0,3,1,0-1,0,0
Shaun Livingston,Cleveland,6,2,0,6,3-6,6-6,25:27,0,5,+0,12,2,0-0,6,5
C.J. Miles,Cleveland,0,0,0,0,3-5,0-0,6:02,0,0,+0,8,1,2-4,0,1
Marreese Speights,Cleveland,2,1,0,1,3-7,2-2,12:26,1,4,+0,8,1,0-0,2,0
Omri Casspi,Cleveland,0,0,0,5,1-2,0-0,8:20,1,0,+0,2,0,0-1,6,0
Wayne Ellington,Cleveland,3,0,0,2,3-9,2-2,37:41,1,3,+0,9,0,1-1,3,1
Alonzo Gee,Cleveland,2,0,0,6,7-12,2-2,31:57,1,0,+0,19,0,3-6,7,1
Kyrie Irving,Cleveland,10,0,0,4,3-15,2-2,35:56,0,1,+0,9,2,1-5,4,2
Tristan Thompson,Cleveland,1,3,0,8,5-14,5-8,36:46,8,2,+0,15,0,0-0,16,2
Tyler Zeller,Cleveland,0,2,0,3,2-10,1-2,26:23,3,3,+0,5,0,0-0,6,0
Kevin Jones,Cleveland,0,0,0,0,2-9,0-0,19:02,2,0,+0,4,1,0-0,2,2
