Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jameer Nelson,Orlando,9,0,0,3,6-18,0-0,33:29,0,3,+0,14,1,2-10,3,2
J.J. Redick,Orlando,3,0,0,2,9-10,3-4,37:16,0,1,+0,26,0,5-6,2,2
Arron Afflalo,Orlando,5,0,0,9,0-4,0-0,37:43,0,2,+0,0,1,0-1,9,0
Glen Davis,Orlando,1,0,0,3,4-16,3-4,23:15,0,1,+0,11,0,0-0,3,1
Josh McRoberts,Orlando,1,0,0,2,0-3,0-0,9:34,1,1,+0,0,0,0-1,3,0
Ish Smith,Orlando,2,0,0,0,0-1,0-0,6:58,1,0,+0,0,1,0-0,1,0
Nikola Vucevic,Orlando,1,1,0,9,5-10,0-0,28:20,0,3,+0,10,0,0-0,9,0
E'Twaun Moore,Orlando,2,0,0,3,4-7,0-0,19:33,2,2,+0,9,1,1-2,5,4
Gustavo Ayon,Orlando,1,0,0,0,4-4,0-0,9:47,0,2,+0,8,0,0-0,0,3
Maurice Harkless,Orlando,1,0,0,0,2-3,0-0,14:31,1,1,+0,4,0,0-0,1,0
Andrew Nicholson,Orlando,0,1,0,2,3-5,0-0,11:22,1,4,+0,6,0,0-0,3,1
Kyle O'Quinn,Orlando,0,0,0,1,1-3,0-0,4:06,0,0,+0,2,0,0-0,1,0
DeQuan Jones,Orlando,1,0,0,1,0-0,0-0,4:06,0,0,+0,0,0,0-0,1,0
Tayshaun Prince,Detroit,5,0,0,3,2-6,2-3,25:17,0,0,+0,6,0,0-1,3,0
Charlie Villanueva,Detroit,2,1,0,6,2-6,0-0,13:23,0,0,+0,6,0,2-5,6,0
Jason Maxiell,Detroit,1,1,0,6,3-8,5-5,22:50,5,0,+0,11,0,0-0,11,1
Will Bynum,Detroit,6,1,0,2,7-14,1-1,25:36,2,2,+0,15,0,0-1,4,1
Rodney Stuckey,Detroit,1,0,0,1,6-13,0-0,24:56,1,1,+0,14,0,2-5,2,1
Austin Daye,Detroit,0,0,0,0,0-2,0-0,5:39,0,0,+0,0,0,0-2,0,0
Greg Monroe,Detroit,2,0,0,5,6-12,4-6,28:51,1,1,+0,16,1,0-0,6,0
Brandon Knight,Detroit,5,0,0,3,7-17,1-2,33:01,1,2,+0,18,3,3-7,4,4
Kyle Singler,Detroit,1,0,0,4,3-4,0-0,32:53,3,3,+0,6,1,0-1,7,0
Andre Drummond,Detroit,0,2,0,8,5-7,1-4,23:58,3,4,+0,11,2,0-0,11,1
Kim English,Detroit,0,0,0,0,1-2,0-0,3:36,0,0,+0,2,1,0-1,0,0
