Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Maurice Harkless,Orlando,2,0,0,4,3-5,4-4,28:48,0,4,-17,12,0,2-3,4,1
Kyle O'Quinn,Orlando,3,2,0,5,4-7,2-4,21:03,0,2,-17,10,0,0-0,5,3
Nikola Vucevic,Orlando,1,0,1,3,7-14,1-2,22:43,2,0,-14,15,0,0-0,5,1
Jameer Nelson,Orlando,7,0,0,3,2-7,0-0,23:17,1,2,-13,4,1,0-2,4,3
Arron Afflalo,Orlando,1,0,0,1,2-7,0-0,22:21,0,1,-18,4,0,0-0,1,2
E'Twaun Moore,Orlando,1,0,0,1,3-8,0-1,29:00,0,1,-4,6,0,0-4,1,1
Tobias Harris,Orlando,1,0,0,6,5-11,3-3,27:37,0,2,-2,14,0,1-1,6,1
Victor Oladipo,Orlando,5,0,1,5,3-8,3-4,27:05,0,3,+4,10,1,1-2,5,4
Doron Lamb,Orlando,0,0,0,4,1-2,0-0,13:29,1,0,+6,2,0,0-1,5,0
Andrew Nicholson,Orlando,1,0,0,1,3-6,2-2,12:37,0,0,-2,8,0,0-0,1,0
Dewayne Dedmon,Orlando,0,0,0,2,2-2,0-0,12:00,1,2,+7,4,0,0-0,3,0
Draymond Green,Golden State,3,0,2,8,2-11,2-2,35:40,1,4,+9,6,2,0-2,9,2
Harrison Barnes,Golden State,3,0,0,5,1-6,2-2,30:57,0,0,+10,4,0,0-3,5,0
David Lee,Golden State,1,0,0,8,8-12,4-4,31:57,2,2,+20,20,1,0-0,10,1
Klay Thompson,Golden State,2,0,0,3,7-14,2-2,32:42,0,4,+20,20,0,4-5,3,1
Stephen Curry,Golden State,5,0,0,2,9-13,2-2,31:46,1,1,+21,23,0,3-6,3,3
Steve Blake,Golden State,4,1,0,4,3-5,3-3,28:37,0,1,+1,12,3,3-5,4,1
Marreese Speights,Golden State,1,1,0,5,5-10,3-4,23:24,3,5,+0,13,1,0-1,8,2
Jordan Crawford,Golden State,1,0,0,0,2-8,1-2,18:03,0,2,-5,5,0,0-3,0,1
Ognjen Kuzmic,Golden State,1,0,0,0,0-0,0-0,3:27,2,0,-3,0,0,0-0,2,0
Nemanja Nedovic,Golden State,0,0,0,0,0-3,0-0,3:27,0,0,-3,0,0,0-2,0,0
