Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Arron Afflalo,Orlando,1,0,1,8,6-17,3-4,39:04,1,4,-17,16,0,1-6,9,1
Andrew Nicholson,Orlando,0,1,1,2,4-11,2-2,21:30,2,2,-12,11,0,1-5,4,0
Glen Davis,Orlando,3,0,2,1,8-18,2-4,28:16,5,3,-10,18,2,0-0,6,1
Jameer Nelson,Orlando,4,1,2,1,5-12,1-3,39:27,1,4,-14,15,3,4-6,2,2
Victor Oladipo,Orlando,0,0,3,2,2-11,4-6,32:31,1,4,-25,8,1,0-3,3,2
Maurice Harkless,Orlando,1,2,1,4,2-7,2-4,26:31,2,4,+2,6,2,0-2,6,0
E'Twaun Moore,Orlando,3,0,0,3,4-10,2-3,22:07,2,0,+19,12,2,2-5,5,0
Jason Maxiell,Orlando,0,3,0,4,1-4,0-2,18:29,1,5,-3,2,1,0-0,5,0
Ronnie Price,Orlando,2,0,0,3,0-3,0-0,9:37,0,2,+4,0,2,0-2,3,0
Doron Lamb,Orlando,0,0,0,0,0-0,0-0,1:15,0,0,+3,0,0,0-0,0,0
Kyle O'Quinn,Orlando,0,0,0,0,0-0,0-0,1:15,0,1,+3,0,0,0-0,0,1
Chandler Parsons,Houston,4,0,1,4,7-12,1-5,38:31,0,3,+11,18,0,3-6,4,3
Terrence Jones,Houston,0,5,1,11,6-13,2-7,34:51,2,3,+17,16,2,2-4,13,1
Dwight Howard,Houston,3,3,2,14,6-12,8-14,34:05,8,4,+5,20,2,0-0,22,4
James Harden,Houston,10,0,2,4,7-17,10-11,39:41,4,1,+22,27,0,3-7,8,3
Patrick Beverley,Houston,3,1,0,3,3-9,1-3,38:52,1,2,+17,9,0,2-8,4,1
Omri Casspi,Houston,1,1,0,6,2-5,2-2,22:59,0,2,+3,6,0,0-2,6,0
Aaron Brooks,Houston,1,0,1,1,1-4,0-0,13:17,0,1,-10,2,0,0-2,1,3
Francisco Garcia,Houston,0,0,0,0,0-3,0-0,12:53,0,2,-7,0,1,0-3,0,2
Donatas Motiejunas,Houston,0,0,0,2,0-1,0-0,4:06,0,2,-5,0,0,0-1,2,1
Ronnie Brewer,Houston,0,0,0,0,0-0,0-0,0:48,0,0,-3,0,0,0-0,0,0
