Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jameer Nelson,Orlando,9,0,0,3,4-14,1-1,36:23,0,3,+0,11,2,2-7,3,2
J.J. Redick,Orlando,3,0,0,3,8-14,1-1,33:09,0,1,+0,21,0,4-8,3,3
Arron Afflalo,Orlando,7,0,0,4,10-19,7-8,40:05,3,1,+0,30,1,3-3,7,1
Josh McRoberts,Orlando,4,0,0,1,2-8,2-2,28:06,1,1,+0,7,0,1-5,2,1
Ish Smith,Orlando,2,0,0,2,3-6,0-1,11:37,0,0,+0,7,0,1-2,2,0
Nikola Vucevic,Orlando,1,1,0,10,7-9,4-6,35:24,5,2,+0,18,1,0-0,15,1
Maurice Harkless,Orlando,0,0,0,0,1-1,0-0,9:20,0,1,+0,2,0,0-0,0,0
Andrew Nicholson,Orlando,1,0,0,4,4-8,0-0,28:44,1,2,+0,8,1,0-0,5,4
Kyle O'Quinn,Orlando,1,0,0,1,0-0,0-0,3:46,0,0,+0,0,1,0-0,1,0
DeQuan Jones,Orlando,0,0,0,3,0-2,0-0,13:26,0,1,+0,0,0,0-0,3,1
Grant Hill,LA Clippers,0,0,0,2,0-3,2-2,6:25,0,0,+0,2,0,0-0,2,0
Lamar Odom,LA Clippers,0,2,0,6,3-5,0-0,26:35,1,4,+0,6,1,0-1,7,1
Jamal Crawford,LA Clippers,1,0,0,1,4-12,3-3,28:37,0,1,+0,13,0,2-4,1,2
Caron Butler,LA Clippers,1,0,0,1,3-7,0-0,22:11,0,2,+0,8,1,2-4,1,0
Matt Barnes,LA Clippers,0,0,0,3,4-10,0-0,27:41,2,5,+0,10,0,2-5,5,2
Willie Green,LA Clippers,1,0,0,1,4-7,0-0,17:26,0,0,+0,10,1,2-4,1,0
Chris Paul,LA Clippers,16,0,0,1,4-11,1-1,34:32,0,0,+0,10,4,1-3,1,2
Ronny Turiaf,LA Clippers,0,0,0,1,0-1,0-0,6:11,1,0,+0,0,0,0-0,2,1
DeAndre Jordan,LA Clippers,2,2,0,3,5-6,0-0,21:25,3,1,+0,10,1,0-0,6,0
Blake Griffin,LA Clippers,7,1,0,7,15-22,0-0,35:24,1,1,+0,30,0,0-1,8,1
Eric Bledsoe,LA Clippers,4,1,0,0,1-4,0-0,13:33,1,1,+0,2,0,0-0,1,0
