Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Arron Afflalo,Orlando,3,0,3,5,5-16,6-6,45:16,0,1,-5,17,1,1-4,5,4
Andrew Nicholson,Orlando,0,4,0,10,8-12,1-1,37:26,1,4,+2,19,0,2-3,11,1
Glen Davis,Orlando,0,3,1,8,5-14,6-6,39:53,1,2,-6,16,1,0-0,9,0
Jameer Nelson,Orlando,5,0,0,4,6-14,5-5,43:50,0,4,-6,19,1,2-8,4,2
Victor Oladipo,Orlando,3,0,0,5,4-11,1-2,39:55,1,2,+3,10,3,1-6,6,4
Jason Maxiell,Orlando,0,0,0,0,2-3,0-0,10:07,0,0,-6,4,0,0-0,0,0
Ronnie Price,Orlando,1,0,0,0,0-1,0-0,8:34,0,2,-8,0,0,0-1,0,0
E'Twaun Moore,Orlando,0,0,0,0,0-2,0-0,8:17,0,0,-13,0,0,0-0,0,0
Maurice Harkless,Orlando,0,1,0,0,0-2,0-0,6:42,0,0,-6,0,1,0-0,0,1
Tayshaun Prince,Memphis,2,0,0,3,3-8,0-0,33:58,1,1,+2,6,0,0-0,4,0
Zach Randolph,Memphis,2,0,3,10,7-15,5-6,29:37,2,3,-9,19,0,0-0,12,3
Kosta Koufos,Memphis,0,3,3,6,3-10,1-2,26:16,5,5,+12,7,0,0-0,11,3
Mike Conley,Memphis,7,0,0,3,5-16,1-3,35:08,0,3,+0,13,1,2-5,3,2
Jerryd Bayless,Memphis,4,1,1,1,4-10,0-0,28:44,0,1,-1,11,1,3-5,1,0
Jon Leuer,Memphis,0,0,1,9,7-14,1-2,27:18,3,2,+10,16,1,1-2,12,1
Mike Miller,Memphis,0,0,0,4,3-6,0-0,24:09,0,3,+12,8,0,2-3,4,1
Nick Calathes,Memphis,8,0,0,2,1-2,4-4,19:55,0,2,+12,6,0,0-0,2,2
Jamaal Franklin,Memphis,0,0,0,3,3-5,0-0,14:55,0,1,+7,8,1,2-2,3,2
