Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Arron Afflalo,Orlando,5,0,2,6,7-17,2-2,40:19,1,4,-6,18,1,2-6,7,2
Maurice Harkless,Orlando,0,1,0,4,2-8,0-2,33:29,2,5,-11,5,1,1-3,6,2
Nikola Vucevic,Orlando,1,1,0,6,5-9,1-2,31:19,3,4,-8,11,1,0-0,9,2
Jameer Nelson,Orlando,6,0,0,3,4-10,2-2,37:40,0,0,-12,12,2,2-6,3,5
Victor Oladipo,Orlando,4,0,0,6,4-8,8-9,27:05,1,2,-1,17,0,1-3,7,1
Glen Davis,Orlando,1,0,1,3,7-13,6-8,26:14,2,4,+2,20,2,0-0,5,2
E'Twaun Moore,Orlando,1,0,0,1,5-5,0-0,21:57,0,1,+13,14,0,4-4,1,2
Andrew Nicholson,Orlando,1,1,0,2,0-3,2-4,18:58,1,3,+9,2,1,0-1,3,0
Solomon Jones,Orlando,0,0,0,0,0-0,0-0,2:59,0,0,+4,0,0,0-0,0,0
LeBron James,Miami,7,0,1,9,7-13,5-7,37:35,0,0,+7,22,3,3-6,9,3
Shane Battier,Miami,0,1,0,0,0-2,0-0,21:03,0,2,+11,0,0,0-2,0,0
Chris Bosh,Miami,0,2,1,6,6-13,3-3,31:19,0,4,+14,15,1,0-1,6,2
Dwyane Wade,Miami,4,0,0,3,9-16,9-10,34:11,1,2,+6,27,1,0-0,4,1
Mario Chalmers,Miami,2,0,0,1,3-7,1-2,21:18,0,4,+3,8,0,1-5,1,1
Norris Cole,Miami,4,0,0,2,2-8,0-0,26:42,0,0,-1,5,1,1-5,2,2
Ray Allen,Miami,2,0,0,2,1-5,2-2,25:58,1,1,+0,5,0,1-3,3,1
Rashard Lewis,Miami,0,0,0,1,2-6,0-0,17:30,0,2,-12,4,0,0-3,1,0
Chris Andersen,Miami,0,0,1,2,3-4,0-0,16:41,2,3,-12,6,0,0-0,4,1
Michael Beasley,Miami,0,0,0,3,4-4,1-2,7:43,0,1,-6,9,0,0-0,3,1
