Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Hedo Turkoglu,Orlando,1,0,0,1,1-2,0-0,5:25,0,0,+0,2,0,0-0,1,0
J.J. Redick,Orlando,8,0,0,1,5-16,3-4,39:06,0,0,+0,15,1,2-9,1,2
Josh McRoberts,Orlando,2,0,0,6,2-4,0-2,15:00,2,1,+0,6,0,2-3,8,2
Ish Smith,Orlando,6,1,0,1,2-7,0-0,23:30,0,2,+0,4,0,0-1,1,1
Nikola Vucevic,Orlando,6,2,0,7,10-16,0-0,33:34,5,2,+0,20,2,0-0,12,2
E'Twaun Moore,Orlando,6,0,0,3,3-14,0-0,34:36,4,4,+0,7,1,1-4,7,4
Gustavo Ayon,Orlando,1,0,0,1,1-2,0-0,5:56,0,0,+0,2,1,0-0,1,0
Maurice Harkless,Orlando,1,1,0,8,7-16,5-9,42:00,6,3,+0,19,4,0-1,14,0
Andrew Nicholson,Orlando,0,1,0,0,3-3,0-0,10:13,0,4,+0,6,0,0-0,0,3
Kyle O'Quinn,Orlando,0,0,0,1,4-7,1-2,11:41,2,0,+0,9,0,0-0,3,1
DeQuan Jones,Orlando,1,0,0,3,3-7,2-5,18:59,1,1,+0,8,0,0-1,4,2
Samuel Dalembert,Milwaukee,0,0,0,1,0-1,0-0,6:06,0,0,+0,0,0,0-0,1,1
Mike Dunleavy,Milwaukee,3,1,0,4,4-9,0-0,24:07,0,2,+0,11,0,3-4,4,1
Marquis Daniels,Milwaukee,0,0,0,0,0-0,0-0,4:19,0,0,+0,0,1,0-0,0,1
Beno Udrih,Milwaukee,1,0,0,0,2-4,0-0,15:09,0,1,+0,5,0,1-1,0,1
Ersan Ilyasova,Milwaukee,3,2,0,5,6-13,2-2,33:33,3,2,+0,16,0,2-5,8,2
Monta Ellis,Milwaukee,11,0,0,3,7-16,6-7,43:41,1,4,+0,21,1,1-6,4,6
Luc Richard Mbah a Moute,Milwaukee,1,0,0,4,4-7,0-0,25:26,1,1,+0,8,1,0-1,5,2
Brandon Jennings,Milwaukee,5,0,0,1,8-16,2-2,32:51,0,1,+0,20,1,2-7,1,1
Ekpe Udoh,Milwaukee,0,0,0,0,0-2,0-0,6:48,1,0,+0,0,1,0-0,1,0
Larry Sanders,Milwaukee,2,6,0,7,7-15,3-4,35:06,6,5,+0,17,1,0-0,13,1
John Henson,Milwaukee,0,0,0,3,4-7,1-5,12:54,2,0,+0,9,0,0-0,5,0
