Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Hedo Turkoglu,Orlando,6,0,0,3,0-3,0-0,18:02,1,0,+0,0,1,0-1,4,1
Josh McRoberts,Orlando,6,0,0,5,2-12,0-0,33:23,1,0,+0,5,0,1-5,6,2
Ish Smith,Orlando,2,0,0,2,2-10,0-0,25:58,1,0,+0,4,0,0-0,3,3
Nikola Vucevic,Orlando,0,0,0,10,3-10,3-4,30:45,4,1,+0,9,0,0-0,14,1
E'Twaun Moore,Orlando,2,0,0,3,9-17,0-0,37:20,0,0,+0,18,1,0-4,3,1
Gustavo Ayon,Orlando,1,0,0,1,1-3,0-0,6:28,0,0,+0,2,1,0-0,1,1
Maurice Harkless,Orlando,2,1,0,4,4-13,2-2,43:18,1,1,+0,10,2,0-2,5,2
Andrew Nicholson,Orlando,0,0,0,4,5-9,1-2,27:31,2,1,+0,11,0,0-0,6,0
Kyle O'Quinn,Orlando,1,1,0,4,1-3,0-0,17:15,0,2,+0,2,0,0-0,4,1
Dorell Wright,Philadelphia,1,0,0,0,0-3,0-0,6:23,0,0,+0,0,0,0-3,0,1
Royal Ivey,Philadelphia,0,0,0,0,2-4,0-0,19:44,0,1,+0,5,0,1-3,0,0
Damien Wilkins,Philadelphia,0,0,0,0,0-2,0-0,9:22,2,2,+0,0,0,0-1,2,1
Spencer Hawes,Philadelphia,3,1,0,13,9-17,2-3,36:52,1,3,+0,21,0,1-3,14,2
Thaddeus Young,Philadelphia,0,0,0,4,3-5,0-0,15:14,1,1,+0,6,0,0-0,5,0
Nick Young,Philadelphia,2,2,0,5,7-15,0-0,36:20,1,2,+0,15,4,1-7,6,2
Jrue Holiday,Philadelphia,14,0,0,4,6-15,1-2,40:48,0,1,+0,13,1,0-1,4,1
Evan Turner,Philadelphia,5,0,0,7,2-6,0-0,31:32,0,0,+0,4,2,0-2,7,2
Shelvin Mack,Philadelphia,1,0,0,0,0-0,0-0,1:35,0,0,+0,0,0,0-0,0,1
Lavoy Allen,Philadelphia,0,3,0,5,5-9,0-0,30:27,1,0,+0,10,1,0-0,6,0
Arnett Moultrie,Philadelphia,0,1,0,1,2-3,0-0,11:43,1,0,+0,4,0,0-0,2,1
