Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Arron Afflalo,Orlando,4,0,2,4,7-14,6-8,39:16,1,2,-20,22,0,2-3,5,2
Tobias Harris,Orlando,1,1,1,7,5-12,0-1,36:49,1,2,-18,11,1,1-2,8,1
Glen Davis,Orlando,2,0,2,3,7-18,2-2,36:07,3,3,-17,16,0,0-0,6,0
Jameer Nelson,Orlando,10,0,2,4,6-18,2-2,39:58,1,1,-11,17,1,3-9,5,1
Victor Oladipo,Orlando,2,1,0,4,3-8,7-8,38:37,0,2,-19,14,2,1-3,4,3
Maurice Harkless,Orlando,0,0,2,2,2-4,2-2,15:30,1,0,-3,6,0,0-0,3,0
Andrew Nicholson,Orlando,1,0,0,4,2-4,1-2,11:11,1,1,+2,5,0,0-1,5,0
Jason Maxiell,Orlando,0,0,0,2,0-0,0-0,10:40,2,1,+0,0,0,0-0,4,1
Doron Lamb,Orlando,1,0,0,1,1-4,0-0,9:26,0,0,+4,2,1,0-2,1,1
E'Twaun Moore,Orlando,0,0,0,0,0-0,1-2,1:13,0,0,+1,1,0,0-0,0,0
Kyle O'Quinn,Orlando,0,0,0,1,0-1,0-0,1:13,0,0,+1,0,0,0-0,1,0
LaMarcus Aldridge,Portland,1,3,0,9,16-25,4-4,34:54,0,1,+11,36,1,0-0,9,0
Nicolas Batum,Portland,14,1,0,9,6-14,0-0,33:59,1,3,+19,14,1,2-6,10,2
Robin Lopez,Portland,0,2,0,3,2-3,3-4,25:01,4,1,+1,7,0,0-0,7,0
Damian Lillard,Portland,2,1,1,7,4-12,0-0,33:38,0,0,+13,11,0,3-8,7,1
Wesley Matthews,Portland,4,0,1,3,6-17,2-2,30:07,2,4,+12,17,0,3-9,5,1
Mo Williams,Portland,4,0,0,1,5-10,1-1,29:55,0,4,+4,12,2,1-4,1,1
Joel Freeland,Portland,1,1,0,0,1-3,1-2,18:00,3,0,+6,3,1,0-0,3,1
C.J. McCollum,Portland,0,0,0,2,2-5,0-0,14:22,0,0,+3,4,1,0-2,2,1
Thomas Robinson,Portland,1,1,0,2,3-3,0-0,11:14,1,2,+22,6,0,0-0,3,0
Meyers Leonard,Portland,0,0,0,0,0-2,0-0,6:51,0,1,-8,0,0,0-0,0,0
Will Barton,Portland,0,0,0,0,0-1,0-0,1:13,0,0,-1,0,0,0-1,0,0
Earl Watson,Portland,0,0,0,0,0-0,0-0,0:46,0,0,-2,0,0,0-0,0,0
