Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Maurice Harkless,Orlando,2,0,1,4,6-13,1-1,35:21,0,2,-7,14,0,1-4,4,1
Kyle O'Quinn,Orlando,5,2,2,5,5-12,0-0,30:14,4,1,-11,10,0,0-0,9,0
Jason Maxiell,Orlando,1,1,1,3,6-13,4-4,30:03,3,4,-5,16,1,0-0,6,2
Arron Afflalo,Orlando,6,0,0,2,7-15,0-0,37:06,0,3,-9,17,1,3-6,2,3
Victor Oladipo,Orlando,6,0,2,4,9-19,2-2,36:29,1,2,-8,22,1,2-3,5,5
Solomon Jones,Orlando,1,0,0,4,2-5,0-0,20:18,3,5,-15,4,4,0-0,7,4
E'Twaun Moore,Orlando,0,1,0,3,4-8,0-0,18:12,1,2,-24,10,1,2-3,4,1
Romero Osby,Orlando,0,0,1,3,2-3,1-2,12:22,0,0,-3,6,1,1-1,3,0
Ronnie Price,Orlando,1,0,2,0,0-4,0-0,10:38,1,2,-14,0,1,0-0,1,2
Andrew Nicholson,Orlando,0,0,0,1,1-1,0-0,7:31,0,1,-14,2,0,0-0,1,1
Manny Harris,Orlando,0,0,0,0,0-0,0-0,0:53,0,0,+0,0,0,0-0,0,0
Kris Joseph,Orlando,0,0,0,0,0-1,0-0,0:53,0,0,+0,0,0,0-0,0,0
Tim Duncan,San Antonio,7,2,0,5,3-8,4-5,24:04,2,0,+21,10,1,0-0,7,3
Kawhi Leonard,San Antonio,2,0,1,4,9-15,1-1,20:48,1,1,+16,19,0,0-2,5,1
Tiago Splitter,San Antonio,0,1,0,3,3-3,0-1,17:20,1,3,+11,6,0,0-0,4,1
Danny Green,San Antonio,1,1,0,5,5-9,2-2,26:01,1,2,+8,14,1,2-4,6,0
Cory Joseph,San Antonio,4,0,1,3,1-4,2-2,25:17,0,0,+14,4,1,0-1,3,4
Patty Mills,San Antonio,2,2,1,2,9-15,0-0,23:07,1,2,+12,22,5,4-7,3,1
Marco Belinelli,San Antonio,2,0,0,2,6-10,2-2,19:21,0,2,+3,16,1,2-5,2,2
Jeff Ayres,San Antonio,1,0,1,2,1-3,6-7,19:11,0,0,+11,8,0,0-0,2,2
Manu Ginobili,San Antonio,4,1,0,2,5-7,1-2,17:26,1,2,+21,12,0,1-2,3,2
Boris Diaw,San Antonio,3,1,0,3,0-1,0-0,17:20,3,0,+10,0,1,0-0,6,0
Nando De Colo,San Antonio,1,0,0,1,3-7,0-0,12:00,0,1,-8,7,1,1-3,1,1
Matt Bonner,San Antonio,1,0,0,2,1-4,0-0,10:11,0,0,-8,3,0,1-2,2,0
Aron Baynes,San Antonio,0,1,0,1,1-2,0-0,7:54,0,0,-1,2,0,0-0,1,1
