Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Evan Turner,Philadelphia,4,0,1,3,10-19,7-8,36:47,1,1,-9,27,0,0-1,4,7
Thaddeus Young,Philadelphia,1,0,0,2,7-15,3-3,33:00,5,3,-9,17,2,0-1,7,1
Spencer Hawes,Philadelphia,2,0,2,10,5-11,3-4,31:55,2,1,-3,14,0,1-3,12,0
James Anderson,Philadelphia,5,2,1,4,1-6,0-0,38:50,0,1,-5,2,2,0-4,4,2
Tony Wroten,Philadelphia,6,0,1,0,9-19,4-6,37:34,0,4,-19,22,1,0-3,0,1
Darius Morris,Philadelphia,3,0,0,0,3-7,0-0,16:40,0,2,+4,9,0,3-4,0,2
Lavoy Allen,Philadelphia,0,2,0,3,3-5,1-2,16:05,1,3,-7,7,0,0-1,4,0
Hollis Thompson,Philadelphia,0,0,0,4,2-3,0-0,14:09,0,1,-1,5,1,1-2,4,2
Brandon Davies,Philadelphia,0,0,0,2,0-1,0-0,10:04,0,1,-4,0,0,0-0,2,0
Daniel Orton,Philadelphia,0,0,0,2,0-0,0-0,4:56,0,2,+3,0,0,0-0,2,1
Al Horford,Atlanta,3,3,1,7,8-15,4-4,34:41,1,0,+16,20,1,0-0,8,2
DeMarre Carroll,Atlanta,2,0,0,6,8-14,0-0,34:10,0,3,+16,21,1,5-8,6,0
Gustavo Ayon,Atlanta,1,1,1,3,3-5,0-0,16:47,1,5,+11,6,0,0-0,4,0
Jeff Teague,Atlanta,10,0,0,4,10-16,12-13,34:52,0,3,+18,33,1,1-3,4,4
Kyle Korver,Atlanta,2,1,1,5,3-6,4-4,33:38,1,4,+14,13,0,3-5,6,2
Paul Millsap,Atlanta,3,0,0,4,3-8,2-6,29:00,0,4,-3,8,2,0-1,4,3
Lou Williams,Atlanta,2,0,0,2,3-8,0-0,16:01,1,1,-1,7,1,1-3,3,0
Cartier Martin,Atlanta,0,0,1,2,0-6,0-0,12:31,0,2,-7,0,0,0-3,2,1
Dennis Schroder,Atlanta,1,0,0,0,0-0,1-2,12:17,1,0,-8,1,0,0-0,1,3
Elton Brand,Atlanta,1,0,0,4,0-2,2-2,11:46,0,1,-1,2,0,0-0,4,0
Mike Scott,Atlanta,0,0,0,0,1-1,0-0,4:17,1,0,-5,2,0,0-0,1,0
