Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Evan Turner,Philadelphia,3,1,1,5,4-13,6-6,30:28,1,1,-18,14,0,0-2,6,5
Thaddeus Young,Philadelphia,2,0,1,2,7-18,2-4,28:22,4,3,-18,16,1,0-3,6,1
Spencer Hawes,Philadelphia,3,2,0,9,6-12,5-5,28:40,3,2,-16,17,1,0-2,12,1
Michael Carter-Williams,Philadelphia,3,0,2,3,1-11,3-5,32:02,1,4,-13,5,4,0-2,4,1
James Anderson,Philadelphia,2,0,1,0,6-11,3-3,24:50,2,2,-7,17,2,2-4,2,2
Daniel Orton,Philadelphia,1,1,0,8,1-6,0-0,20:38,2,2,+5,2,0,0-0,10,1
Tony Wroten,Philadelphia,2,0,0,2,3-6,4-5,20:05,0,3,+1,11,1,1-3,2,4
Rodney Williams,Philadelphia,1,1,0,1,0-3,0-0,19:08,0,2,+5,0,1,0-0,1,0
Darius Morris,Philadelphia,1,0,1,2,1-5,1-2,17:27,0,0,-1,4,3,1-2,2,1
Royce White,Philadelphia,2,1,1,6,2-3,3-4,17:17,0,6,+7,7,1,0-0,6,5
Mac Koshwal,Philadelphia,0,0,0,0,0-0,0-0,2:02,0,0,+0,0,0,0-0,0,0
Gani Lawal,Philadelphia,0,0,0,0,0-0,0-0,1:03,0,1,+0,0,0,0-0,0,0
Tristan Thompson,Cleveland,1,2,1,11,7-11,1-4,27:30,5,2,+13,15,2,0-1,16,3
Alonzo Gee,Cleveland,2,2,1,1,5-10,0-0,27:27,1,4,+12,14,3,4-6,2,1
Anderson Varejao,Cleveland,2,0,1,4,1-7,2-3,23:43,2,2,+8,4,0,0-0,6,2
Kyrie Irving,Cleveland,12,1,0,1,6-10,4-4,28:52,1,1,+12,17,2,1-3,2,5
C.J. Miles,Cleveland,2,0,1,2,4-11,4-4,21:06,0,2,+8,12,1,0-5,2,2
Matthew Dellavedova,Cleveland,3,0,0,4,2-5,3-3,25:24,0,3,+0,9,1,2-3,4,4
Anthony Bennett,Cleveland,2,1,0,5,3-7,2-2,25:05,0,5,+0,9,1,1-3,5,2
Henry Sims,Cleveland,0,1,0,3,6-6,2-4,19:42,2,2,+1,14,0,0-0,5,0
Jermaine Taylor,Cleveland,6,0,1,1,1-7,0-0,18:35,0,3,-3,2,0,0-3,1,2
Elliot Williams,Cleveland,0,0,1,2,2-6,1-3,12:58,0,2,+4,5,0,0-1,2,0
Sergey Karasev,Cleveland,0,0,0,1,1-6,0-0,9:38,0,0,+0,3,1,1-4,1,1
