Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kwame Brown,Philadelphia,0,0,0,1,1-1,0-0,4:08,0,1,+0,2,0,0-0,1,0
Jason Richardson,Philadelphia,1,0,0,2,5-10,0-0,30:38,1,3,+0,11,1,1-3,3,2
Dorell Wright,Philadelphia,6,0,0,6,7-15,3-4,39:49,0,2,+0,20,0,3-7,6,0
Damien Wilkins,Philadelphia,0,0,0,2,0-2,0-0,8:59,0,1,+0,0,1,0-0,2,0
Spencer Hawes,Philadelphia,0,0,0,1,4-11,6-7,23:31,5,5,+0,14,0,0-1,6,4
Thaddeus Young,Philadelphia,5,1,0,6,7-12,3-4,34:54,0,1,+0,17,1,0-0,6,3
Nick Young,Philadelphia,4,1,0,3,8-18,3-5,34:42,1,2,+0,21,1,2-4,4,0
Evan Turner,Philadelphia,3,0,0,1,3-7,0-0,20:43,1,1,+0,6,0,0-1,2,1
Lavoy Allen,Philadelphia,2,1,0,2,4-8,2-4,24:42,5,5,+0,10,0,0-0,7,0
Arnett Moultrie,Philadelphia,0,0,0,1,0-0,0-0,3:35,0,0,+0,0,0,0-0,1,0
Maalik Wayns,Philadelphia,0,0,0,0,1-5,0-0,14:19,1,0,+0,2,2,0-1,1,1
Carlos Delfino,Houston,1,0,0,2,0-3,0-0,17:12,0,1,+0,0,0,0-2,2,1
Daequan Cook,Houston,0,0,0,1,0-0,0-0,2:49,0,0,+0,0,0,0-0,1,0
Omer Asik,Houston,0,0,0,12,5-7,7-9,31:39,3,2,+0,17,0,0-0,15,0
James Harden,Houston,7,1,0,2,7-12,17-18,37:29,0,3,+0,33,0,2-3,2,2
Toney Douglas,Houston,4,0,0,3,6-11,0-0,25:04,0,3,+0,17,0,5-8,3,1
Cole Aldrich,Houston,0,1,0,2,0-0,0-0,3:14,0,0,+0,0,0,0-0,2,0
Jeremy Lin,Houston,6,0,0,2,8-12,1-2,31:42,0,3,+0,18,1,1-3,2,1
Marcus Morris,Houston,5,1,0,4,5-8,2-3,31:15,1,1,+0,14,0,2-3,5,3
Donatas Motiejunas,Houston,1,0,0,0,2-4,0-0,7:59,0,2,+0,4,0,0-1,0,1
Chandler Parsons,Houston,4,0,0,4,4-13,0-0,35:16,1,2,+0,9,3,1-7,5,1
Greg Smith,Houston,0,0,0,2,5-5,3-4,13:07,2,3,+0,13,0,0-0,4,0
Terrence Jones,Houston,1,0,0,0,0-0,0-0,3:14,0,0,+0,0,0,0-0,0,0
