Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dorell Wright,Philadelphia,1,0,0,2,3-5,0-0,23:26,0,1,+0,8,0,2-3,2,1
Royal Ivey,Philadelphia,0,0,0,0,3-8,0-0,19:09,0,4,+0,7,0,1-5,0,2
Damien Wilkins,Philadelphia,1,0,0,0,2-6,0-0,16:36,0,1,+0,4,0,0-1,0,1
Spencer Hawes,Philadelphia,7,4,0,6,5-13,5-6,31:55,1,3,+0,16,2,1-3,7,4
Thaddeus Young,Philadelphia,1,0,0,3,5-12,3-4,25:10,5,3,+0,13,0,0-0,8,1
Nick Young,Philadelphia,1,0,0,2,3-8,0-0,8:54,0,0,+0,6,0,0-4,2,0
Jrue Holiday,Philadelphia,4,0,0,5,1-8,0-0,32:34,1,2,+0,2,3,0-2,6,4
Evan Turner,Philadelphia,3,0,0,2,5-10,0-0,26:31,0,1,+0,12,0,2-2,2,1
Charles Jenkins,Philadelphia,1,0,0,1,2-3,0-0,10:36,0,0,+0,4,0,0-0,1,0
Lavoy Allen,Philadelphia,2,0,0,3,0-3,0-0,23:38,1,4,+0,0,0,0-0,4,1
Jeremy Pargo,Philadelphia,1,0,0,0,0-0,0-0,6:21,0,0,+0,0,0,0-0,0,2
Arnett Moultrie,Philadelphia,0,0,0,3,0-3,0-0,15:10,2,0,+0,0,1,0-0,5,2
Lamar Odom,LA Clippers,3,0,0,2,1-3,0-0,17:43,0,2,+0,3,5,1-3,2,1
Jamal Crawford,LA Clippers,3,0,0,2,4-9,3-3,27:49,0,2,+0,12,0,1-5,2,2
Caron Butler,LA Clippers,0,0,0,5,6-13,2-3,23:37,1,1,+0,14,0,0-2,6,0
Matt Barnes,LA Clippers,0,1,0,4,3-5,0-0,22:19,0,0,+0,6,1,0-2,4,3
Willie Green,LA Clippers,0,0,0,3,5-9,2-3,22:22,1,1,+0,13,0,1-2,4,0
Chris Paul,LA Clippers,9,0,0,5,8-10,1-1,31:21,1,0,+0,19,5,2-3,6,4
Ryan Hollins,LA Clippers,0,1,0,5,5-6,0-3,26:09,1,4,+0,10,0,0-0,6,0
DeAndre Jordan,LA Clippers,0,1,0,3,3-4,0-0,19:43,0,1,+0,6,0,0-0,3,0
Blake Griffin,LA Clippers,6,0,0,5,2-9,3-4,26:18,4,3,+0,7,1,0-1,9,3
DaJuan Summers,LA Clippers,1,0,0,2,1-4,0-0,6:00,0,0,+0,2,0,0-0,2,0
Maalik Wayns,LA Clippers,2,0,0,0,3-6,2-2,16:39,0,2,+0,9,1,1-2,0,1
