Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dorell Wright,Philadelphia,0,0,0,4,3-11,3-4,29:19,3,3,+0,10,0,1-7,7,0
Damien Wilkins,Philadelphia,0,0,0,2,3-10,1-1,32:13,1,3,+0,7,2,0-1,3,1
Spencer Hawes,Philadelphia,0,0,0,8,4-9,1-2,28:11,3,1,+0,11,1,2-3,11,1
Thaddeus Young,Philadelphia,0,0,0,0,4-11,1-2,29:23,1,4,+0,9,1,0-0,1,0
Nick Young,Philadelphia,0,0,0,0,3-6,4-4,20:56,0,1,+0,10,0,0-3,0,0
Jrue Holiday,Philadelphia,6,1,0,4,7-17,1-1,39:04,1,1,+0,18,2,3-4,5,5
Evan Turner,Philadelphia,5,0,0,4,6-10,2-4,31:56,1,1,+0,14,0,0-2,5,1
Lavoy Allen,Philadelphia,0,0,0,6,2-6,2-2,15:57,2,0,+0,6,0,0-0,8,1
Arnett Moultrie,Philadelphia,0,1,0,1,1-1,0-0,6:10,0,0,+0,2,0,0-0,1,0
Justin Holiday,Philadelphia,1,0,0,0,0-1,0-0,6:51,0,0,+0,0,0,0-0,0,0
Ray Allen,Miami,2,0,0,2,3-8,2-2,27:17,0,3,+0,11,0,3-3,2,2
Rashard Lewis,Miami,3,0,0,6,6-10,0-0,26:05,1,0,+0,14,1,2-4,7,0
Mike Miller,Miami,3,0,0,3,1-3,0-0,22:39,1,2,+0,3,1,1-2,4,2
Shane Battier,Miami,5,0,0,0,2-4,2-2,25:59,0,1,+0,8,1,2-2,0,0
Chris Andersen,Miami,0,2,0,11,2-7,3-4,25:21,4,1,+0,7,0,0-0,15,0
LeBron James,Miami,5,0,0,4,12-17,2-2,29:42,0,1,+0,27,1,1-2,4,1
Udonis Haslem,Miami,0,1,0,4,4-9,2-2,17:36,1,2,+0,10,0,0-0,5,1
Joel Anthony,Miami,1,0,0,3,1-3,0-0,17:21,1,1,+0,2,1,0-0,4,0
Mario Chalmers,Miami,4,0,0,2,4-10,0-0,23:45,1,1,+0,11,0,3-8,3,2
Norris Cole,Miami,2,0,0,2,5-12,1-2,24:15,2,4,+0,13,0,2-4,4,1
