Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dorell Wright,Philadelphia,1,0,0,0,0-1,0-0,4:12,0,1,+0,0,0,0-0,0,0
Royal Ivey,Philadelphia,0,0,0,1,3-3,0-0,19:11,3,0,+0,8,1,2-2,4,0
Damien Wilkins,Philadelphia,2,0,0,1,3-6,0-0,13:57,0,2,+0,6,2,0-0,1,0
Spencer Hawes,Philadelphia,2,0,0,6,10-16,1-1,36:17,6,4,+0,21,0,0-1,12,1
Thaddeus Young,Philadelphia,2,0,0,5,5-16,1-2,37:55,4,1,+0,11,2,0-0,9,2
Nick Young,Philadelphia,3,0,0,2,8-16,2-2,32:29,1,4,+0,20,0,2-5,3,2
Jrue Holiday,Philadelphia,12,1,0,3,3-12,3-4,39:40,3,5,+0,9,0,0-1,6,8
Evan Turner,Philadelphia,7,1,0,6,8-19,3-4,44:36,0,4,+0,23,1,4-7,6,2
Lavoy Allen,Philadelphia,0,1,0,3,2-6,0-0,11:43,2,1,+0,4,0,0-0,5,1
Mike Dunleavy,Milwaukee,0,1,0,3,4-7,1-3,27:43,0,4,+0,11,1,2-4,3,1
Beno Udrih,Milwaukee,2,0,0,1,0-2,2-2,13:26,0,1,+0,2,0,0-1,1,1
Ersan Ilyasova,Milwaukee,2,1,0,9,10-17,5-6,36:22,7,2,+0,27,3,2-4,16,0
Monta Ellis,Milwaukee,10,0,0,5,7-10,4-6,43:32,0,2,+0,18,2,0-1,5,2
Luc Richard Mbah a Moute,Milwaukee,1,0,0,2,2-6,1-4,20:17,1,1,+0,5,0,0-0,3,1
Brandon Jennings,Milwaukee,7,0,0,0,8-17,6-6,39:02,1,0,+0,25,3,3-6,1,4
Ekpe Udoh,Milwaukee,1,1,0,1,2-3,0-2,15:11,0,0,+0,4,1,0-0,1,0
Larry Sanders,Milwaukee,1,2,0,2,4-10,1-2,32:49,3,3,+0,9,0,0-0,5,2
John Henson,Milwaukee,0,0,0,3,4-7,1-2,11:38,0,0,+0,9,0,0-0,3,1
