Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dorell Wright,Philadelphia,0,0,0,0,0-2,0-0,13:40,0,0,+0,0,0,0-2,0,0
Damien Wilkins,Philadelphia,0,0,0,0,1-2,2-2,7:52,0,2,+0,4,1,0-0,0,0
Spencer Hawes,Philadelphia,1,1,0,4,3-11,4-4,28:36,5,2,+0,10,0,0-0,9,2
Thaddeus Young,Philadelphia,1,0,0,7,5-12,1-3,35:49,3,5,+0,11,4,0-0,10,0
Nick Young,Philadelphia,0,0,0,2,0-4,0-0,17:10,0,2,+0,0,1,0-2,2,0
Jrue Holiday,Philadelphia,5,1,0,5,12-24,3-4,43:44,0,3,+0,30,0,3-7,5,4
Evan Turner,Philadelphia,8,0,0,5,7-18,7-7,41:05,1,3,+0,21,1,0-1,6,3
Lavoy Allen,Philadelphia,0,0,0,6,5-6,0-0,21:31,2,4,+0,10,1,0-0,8,1
Jeremy Pargo,Philadelphia,3,0,0,4,3-6,0-0,30:33,0,1,+0,7,0,1-1,4,2
Jason Kidd,New York,2,0,0,6,1-7,1-2,26:09,3,1,+0,3,1,0-6,9,2
Tyson Chandler,New York,1,3,0,8,2-2,1-3,35:15,4,2,+0,5,0,0-0,12,2
Amar'e Stoudemire,New York,0,0,0,3,9-10,4-6,21:40,2,5,+0,22,2,0-0,5,1
Carmelo Anthony,New York,2,0,0,6,6-18,16-18,40:21,1,2,+0,29,0,1-6,7,5
J.R. Smith,New York,2,0,0,5,5-12,1-2,35:56,1,2,+0,14,1,3-6,6,1
Raymond Felton,New York,4,0,0,0,6-15,0-0,36:00,0,1,+0,14,1,2-8,0,0
Steve Novak,New York,0,0,0,6,1-2,1-1,18:54,0,1,+0,4,1,1-2,6,0
Iman Shumpert,New York,1,0,0,2,1-5,1-1,13:11,0,3,+0,4,1,1-2,2,1
Pablo Prigioni,New York,5,0,0,1,1-4,2-2,12:34,0,1,+0,4,0,0-3,1,0
