Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jason Richardson,Philadelphia,0,0,0,2,2-4,0-0,18:36,0,1,+0,4,0,0-1,2,1
Dorell Wright,Philadelphia,2,0,0,3,6-9,0-0,29:32,0,2,+0,14,0,2-4,3,2
Royal Ivey,Philadelphia,0,0,0,1,0-0,0-0,3:38,0,1,+0,0,0,0-0,1,0
Spencer Hawes,Philadelphia,3,1,0,5,3-11,0-0,24:13,2,2,+0,6,0,0-1,7,3
Thaddeus Young,Philadelphia,2,0,0,8,6-10,2-2,35:55,2,4,+0,14,2,0-0,10,0
Nick Young,Philadelphia,1,0,0,0,3-7,4-4,19:56,0,0,+0,12,1,2-3,0,1
Jrue Holiday,Philadelphia,10,2,0,7,6-16,3-4,38:46,3,3,+0,16,2,1-3,10,6
Evan Turner,Philadelphia,1,0,0,2,6-16,1-2,33:57,0,4,+0,13,2,0-2,2,3
Lavoy Allen,Philadelphia,2,0,0,6,5-11,0-0,35:27,3,1,+0,10,0,0-0,9,0
Jermaine O'Neal,Phoenix,1,0,0,2,1-7,0-0,12:20,0,1,+0,2,1,0-0,2,2
Luis Scola,Phoenix,9,1,0,3,7-14,7-8,33:41,1,5,+0,21,2,0-0,4,2
Sebastian Telfair,Phoenix,1,0,0,1,0-1,0-0,6:52,0,0,+0,0,1,0-1,1,1
Marcin Gortat,Phoenix,3,1,0,12,5-8,1-1,35:26,2,2,+0,11,2,0-0,14,2
Shannon Brown,Phoenix,2,0,0,1,6-12,0-0,24:33,2,0,+0,12,1,0-2,3,3
P.J. Tucker,Phoenix,0,0,0,5,5-10,0-0,29:46,1,3,+0,10,1,0-1,6,1
Jared Dudley,Phoenix,1,0,0,2,3-8,1-2,35:03,1,0,+0,8,2,1-3,3,1
Michael Beasley,Phoenix,0,1,0,3,1-4,0-0,6:44,1,0,+0,2,0,0-0,4,0
Goran Dragic,Phoenix,6,3,0,2,7-13,5-9,41:16,2,4,+0,20,1,1-4,4,1
Markieff Morris,Phoenix,1,1,0,2,4-8,0-0,14:19,2,1,+0,9,0,1-2,4,0
