Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dorell Wright,Philadelphia,0,0,0,2,2-4,3-4,31:58,0,2,+0,7,1,0-1,2,0
Royal Ivey,Philadelphia,0,1,0,0,1-2,0-0,11:29,0,2,+0,3,0,1-2,0,1
Damien Wilkins,Philadelphia,0,0,0,0,2-6,0-0,17:57,2,1,+0,4,0,0-0,2,1
Spencer Hawes,Philadelphia,2,2,0,7,2-8,2-2,28:11,2,4,+0,6,0,0-0,9,2
Thaddeus Young,Philadelphia,3,0,0,5,6-12,4-6,37:38,2,1,+0,16,0,0-0,7,0
Nick Young,Philadelphia,0,1,0,3,1-3,0-0,12:56,0,1,+0,2,0,0-1,3,2
Jrue Holiday,Philadelphia,4,0,0,2,7-18,2-4,39:27,1,1,+0,16,0,0-3,3,3
Evan Turner,Philadelphia,5,1,0,7,4-15,1-2,40:33,0,1,+0,10,2,1-3,7,4
Lavoy Allen,Philadelphia,1,1,0,2,4-6,0-1,19:51,2,1,+0,8,0,0-0,4,0
Mickael Pietrus,Toronto,0,0,0,4,0-3,0-0,8:15,0,1,+0,0,1,0-2,4,0
Amir Johnson,Toronto,5,1,0,8,6-11,7-8,40:02,4,3,+0,19,1,0-0,12,1
Jose Calderon,Toronto,11,0,0,1,7-12,0-0,31:11,1,1,+0,14,1,0-3,2,0
Alan Anderson,Toronto,2,1,0,1,4-13,0-0,25:21,0,3,+0,9,1,1-4,1,3
Kyle Lowry,Toronto,4,0,0,1,1-2,0-0,16:49,1,1,+0,2,1,0-1,2,0
DeMar DeRozan,Toronto,1,1,0,5,8-15,3-3,40:43,0,2,+0,19,1,0-1,5,1
Ed Davis,Toronto,2,0,0,7,8-14,1-2,35:11,2,5,+0,17,0,0-0,9,3
Landry Fields,Toronto,1,0,0,9,5-10,0-0,42:28,2,0,+0,10,3,0-0,11,3
