Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
P.J. Tucker,Phoenix,0,0,1,5,3-6,1-2,29:28,0,2,-16,8,1,1-3,5,2
Channing Frye,Phoenix,0,0,0,2,3-9,0-0,19:23,4,3,-10,7,0,1-3,6,1
Miles Plumlee,Phoenix,2,0,0,4,1-4,1-2,18:21,2,1,-11,3,0,0-0,6,2
Goran Dragic,Phoenix,2,0,0,1,6-12,1-1,25:01,0,5,-20,13,3,0-3,1,2
Eric Bledsoe,Phoenix,5,0,2,4,4-10,1-2,23:13,1,4,-13,10,1,1-3,5,2
Gerald Green,Phoenix,0,0,0,0,6-11,2-3,30:43,0,2,-13,17,2,3-6,0,1
Markieff Morris,Phoenix,1,1,0,3,8-14,2-5,26:12,0,3,-5,18,1,0-2,3,1
Ish Smith,Phoenix,6,0,0,1,2-4,0-0,22:17,1,0,+4,4,1,0-0,2,2
Marcus Morris,Phoenix,2,0,0,2,2-4,2-4,19:32,2,1,-1,6,0,0-1,4,1
Archie Goodwin,Phoenix,0,1,0,1,2-3,2-3,11:53,0,1,+12,6,0,0-0,1,1
Alex Len,Phoenix,0,0,0,2,0-0,0-0,7:46,0,1,+3,0,0,0-0,2,1
Dionte Christmas,Phoenix,0,0,0,1,0-3,2-4,3:13,2,0,+2,2,0,0-1,3,0
Shavlik Randolph,Phoenix,0,0,0,2,0-0,1-2,2:58,0,1,+3,1,0,0-0,2,0
Joe Johnson,Brooklyn,5,1,0,4,7-11,2-2,29:29,1,1,+20,19,2,3-5,5,0
Paul Pierce,Brooklyn,2,0,0,4,4-7,0-1,27:44,1,3,+23,10,0,2-4,5,0
Mason Plumlee,Brooklyn,1,0,0,10,5-6,4-7,27:17,1,1,+16,14,2,0-0,11,3
Deron Williams,Brooklyn,4,0,0,3,11-13,3-5,33:11,0,4,+16,28,3,3-5,3,3
Shaun Livingston,Brooklyn,5,1,0,1,6-11,0-0,31:50,0,2,+22,12,1,0-0,1,4
Andray Blatche,Brooklyn,2,0,2,4,3-5,1-2,20:43,1,2,-3,7,0,0-0,5,1
Marcus Thornton,Brooklyn,1,0,0,2,2-8,4-4,20:16,1,2,-8,8,1,0-3,3,2
Alan Anderson,Brooklyn,0,0,0,0,2-6,2-2,18:31,0,2,-7,7,1,1-4,0,1
Andrei Kirilenko,Brooklyn,2,1,0,1,1-2,0-2,17:18,1,4,-7,2,1,0-0,2,1
Jorge Gutierrez,Brooklyn,1,0,0,1,0-1,0-0,7:45,0,1,-1,0,1,0-0,1,0
Jason Collins,Brooklyn,0,0,0,0,0-0,0-0,2:58,0,2,-3,0,0,0-0,0,0
Marquis Teague,Brooklyn,0,0,0,0,0-0,1-2,2:58,0,0,-3,1,0,0-0,0,1
