Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Channing Frye,Phoenix,0,1,0,6,7-13,2-2,34:30,0,3,+11,21,1,5-6,6,1
P.J. Tucker,Phoenix,1,0,0,3,2-7,2-3,31:19,2,4,-8,6,4,0-2,5,3
Miles Plumlee,Phoenix,0,2,0,3,2-2,0-0,16:33,3,1,+8,4,1,0-0,6,1
Eric Bledsoe,Phoenix,6,1,1,4,11-15,5-7,40:39,0,2,+6,29,4,2-2,4,7
Goran Dragic,Phoenix,4,0,3,4,6-18,1-3,40:29,1,4,+5,13,1,0-3,5,2
Markieff Morris,Phoenix,2,0,1,2,2-8,4-4,31:27,4,1,-11,8,2,0-1,6,0
Gerald Green,Phoenix,0,0,0,6,2-9,4-4,27:19,1,1,-11,9,2,1-3,7,3
Marcus Morris,Phoenix,1,0,0,1,3-4,0-0,14:43,1,2,-13,6,1,0-0,2,1
Ish Smith,Phoenix,0,0,0,0,1-2,0-0,3:00,0,0,-2,2,0,0-0,0,0
Dirk Nowitzki,Dallas,3,1,1,8,8-15,4-4,39:05,0,2,+3,23,2,3-6,8,4
Shawn Marion,Dallas,1,0,0,5,3-6,0-0,33:56,1,1,-10,7,3,1-2,6,3
Samuel Dalembert,Dallas,0,1,0,2,2-5,2-2,14:26,3,0,-4,6,0,0-0,5,0
Monta Ellis,Dallas,5,0,0,4,15-23,4-7,43:28,0,3,-2,37,2,3-4,4,5
Jose Calderon,Dallas,2,0,0,1,0-3,0-0,17:02,0,0,-9,0,0,0-1,1,1
Brandan Wright,Dallas,1,3,1,6,5-8,2-2,32:15,5,3,+6,12,1,0-0,11,1
Devin Harris,Dallas,6,0,0,2,1-4,0-0,31:03,0,3,+13,3,1,1-4,2,2
Vince Carter,Dallas,2,0,1,5,4-13,0-0,21:01,0,5,+10,10,2,2-6,5,3
Shane Larkin,Dallas,1,0,1,0,1-2,0-0,5:47,0,1,+3,3,0,1-1,0,0
Jae Crowder,Dallas,0,0,0,0,0-0,0-0,1:58,0,0,+5,0,0,0-0,0,0
