Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
P.J. Tucker,Phoenix,4,0,0,3,4-12,1-2,29:38,2,3,+13,10,1,1-4,5,0
Markieff Morris,Phoenix,2,1,1,9,6-12,0-1,29:17,1,3,+8,12,1,0-1,10,3
Marcin Gortat,Phoenix,0,0,0,10,3-7,2-2,25:37,3,2,-4,8,1,0-0,13,2
Eric Bledsoe,Phoenix,7,1,1,7,8-16,4-7,36:21,0,3,+14,21,2,1-4,7,5
Goran Dragic,Phoenix,8,0,0,3,3-11,0-0,33:22,1,3,+8,6,2,0-3,4,5
Miles Plumlee,Phoenix,2,2,0,6,3-5,2-3,25:59,4,3,+20,8,2,0-0,10,1
Gerald Green,Phoenix,1,1,0,1,7-9,2-2,19:30,0,2,+13,19,1,3-3,1,2
Channing Frye,Phoenix,0,1,0,1,3-6,0-0,15:07,1,3,+14,6,0,0-3,2,1
Marcus Morris,Phoenix,0,0,0,0,2-6,0-0,11:29,1,1,-4,5,0,1-2,1,1
Archie Goodwin,Phoenix,0,0,0,0,0-0,1-2,6:53,0,1,+10,1,0,0-0,0,0
Dionte Christmas,Phoenix,1,0,0,0,1-2,0-0,6:47,0,0,+3,2,0,0-0,0,1
J.J. Hickson,Denver,2,0,2,5,3-9,1-2,27:33,2,3,-10,7,2,0-0,7,3
Jordan Hamilton,Denver,1,0,0,3,2-7,0-0,17:27,2,0,+3,4,1,0-3,5,0
JaVale McGee,Denver,1,0,0,3,5-10,3-5,23:39,3,1,-13,13,1,0-0,6,2
Ty Lawson,Denver,8,1,1,4,3-10,1-2,32:01,0,1,-9,9,0,2-4,4,1
Randy Foye,Denver,0,0,0,4,4-10,2-2,25:36,1,3,-9,10,0,0-2,5,3
Evan Fournier,Denver,1,0,2,2,4-12,0-2,28:34,0,0,-24,9,0,1-3,2,1
Anthony Randolph,Denver,1,1,0,1,5-13,5-8,22:34,0,4,-10,15,3,0-0,1,1
Timofey Mozgov,Denver,0,0,0,0,0-4,4-4,19:46,1,3,+0,4,0,0-0,1,3
Quincy Miller,Denver,1,0,0,0,2-3,0-0,17:05,3,2,-7,6,0,2-3,3,0
Andre Miller,Denver,3,0,0,1,0-1,0-0,15:59,0,2,-10,0,0,0-0,1,2
Damion James,Denver,0,0,1,4,1-6,0-0,9:46,2,0,-6,2,0,0-0,6,1
