Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luis Scola,Phoenix,4,1,0,9,3-11,3-4,30:11,5,3,+0,9,3,0-0,14,0
Marcin Gortat,Phoenix,0,0,0,9,2-7,0-0,27:32,0,1,+0,4,0,0-0,9,1
Shannon Brown,Phoenix,2,0,0,3,2-6,1-4,18:26,1,1,+0,5,0,0-0,4,1
P.J. Tucker,Phoenix,3,0,0,2,5-7,2-2,28:46,5,3,+0,12,1,0-1,7,1
Jared Dudley,Phoenix,1,0,0,2,5-9,4-4,27:03,1,3,+0,16,0,2-3,3,1
Michael Beasley,Phoenix,2,0,0,5,10-23,3-3,33:19,0,2,+0,24,0,1-6,5,3
Goran Dragic,Phoenix,7,0,0,0,3-10,5-7,32:00,1,3,+0,13,2,2-3,1,2
Wesley Johnson,Phoenix,0,0,0,0,0-3,0-0,4:23,0,1,+0,0,0,0-1,0,0
Markieff Morris,Phoenix,0,0,0,2,3-7,0-0,14:48,1,4,+0,6,0,0-1,3,1
Luke Zeller,Phoenix,0,0,0,0,0-1,0-0,2:10,0,0,+0,0,0,0-0,0,0
Kendall Marshall,Phoenix,3,0,0,0,1-1,0-0,19:12,0,0,+0,2,1,0-0,0,2
Diante Garrett,Phoenix,0,0,0,1,1-1,0-0,2:10,1,0,+0,2,0,0-0,2,0
Richard Jefferson,Golden State,0,0,0,2,1-1,0-0,6:33,1,1,+0,2,0,0-0,3,0
Andris Biedrins,Golden State,0,0,0,0,0-0,0-0,3:34,1,3,+0,0,0,0-0,1,1
Andrew Bogut,Golden State,2,3,0,2,5-9,1-4,24:40,5,3,+0,11,0,0-0,7,0
Jarrett Jack,Golden State,7,0,0,1,3-9,0-0,20:43,0,0,+0,6,0,0-2,1,1
David Lee,Golden State,7,0,0,8,6-16,4-5,37:02,4,2,+0,16,1,0-0,12,5
Carl Landry,Golden State,0,0,0,3,3-3,2-3,17:43,1,3,+0,8,0,0-0,4,0
Stephen Curry,Golden State,8,0,0,2,11-20,1-1,42:25,0,3,+0,29,2,6-10,2,2
Klay Thompson,Golden State,7,0,0,7,6-14,3-3,34:50,0,3,+0,17,1,2-5,7,0
Charles Jenkins,Golden State,0,0,0,0,0-0,0-0,2:10,0,0,+0,0,0,0-0,0,0
Harrison Barnes,Golden State,1,0,0,7,9-11,3-4,32:13,1,2,+0,21,0,0-0,8,2
Festus Ezeli,Golden State,1,0,0,0,0-1,0-0,4:09,0,1,+0,0,0,0-0,0,1
Draymond Green,Golden State,1,0,0,1,0-3,0-0,11:33,1,2,+0,0,1,0-1,2,1
Kent Bazemore,Golden State,0,0,0,0,1-2,0-0,2:26,0,1,+0,3,0,1-1,0,0
