Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jermaine O'Neal,Phoenix,1,1,0,7,2-5,2-2,15:13,0,3,+0,6,0,0-0,7,1
Luis Scola,Phoenix,2,0,0,2,6-15,0-0,35:03,2,6,+0,12,1,0-0,4,2
Sebastian Telfair,Phoenix,6,0,0,1,8-20,2-2,40:43,0,3,+0,19,1,1-6,1,2
Marcin Gortat,Phoenix,2,0,0,8,6-9,3-4,32:47,2,5,+0,15,1,0-0,10,1
Shannon Brown,Phoenix,3,0,0,2,6-10,0-0,29:08,3,1,+0,12,0,0-2,5,2
P.J. Tucker,Phoenix,0,0,0,1,0-0,0-0,15:10,0,2,+0,0,0,0-0,1,0
Jared Dudley,Phoenix,2,1,0,3,4-13,2-2,34:42,3,4,+0,11,1,1-5,6,0
Michael Beasley,Phoenix,3,0,0,1,3-7,4-4,17:01,0,0,+0,10,0,0-1,1,0
Markieff Morris,Phoenix,0,0,0,2,3-3,0-2,12:53,0,2,+0,6,1,0-0,2,2
Kendall Marshall,Phoenix,1,0,0,0,0-0,0-0,7:20,0,0,+0,0,0,0-0,0,1
David West,Indiana,2,1,0,4,5-15,4-4,33:34,3,4,+0,14,1,0-0,7,3
Gerald Green,Indiana,0,0,0,1,3-6,0-0,20:19,0,1,+0,8,0,2-4,1,1
Ian Mahinmi,Indiana,2,0,0,1,1-5,4-6,16:04,4,1,+0,6,0,0-0,5,1
D.J. Augustin,Indiana,1,0,0,1,0-2,2-2,15:27,0,2,+0,2,0,0-1,1,1
Roy Hibbert,Indiana,4,1,0,9,3-9,2-4,31:56,5,4,+0,8,0,0-0,14,2
George Hill,Indiana,2,0,0,2,9-13,1-1,32:30,0,3,+0,22,2,3-4,2,3
Tyler Hansbrough,Indiana,1,0,0,4,5-6,2-2,14:26,1,3,+0,12,0,0-0,5,0
Paul George,Indiana,2,0,0,3,4-12,5-6,38:59,1,3,+0,15,0,2-5,4,3
Lance Stephenson,Indiana,5,0,0,7,4-9,1-4,36:45,2,1,+0,10,3,1-2,9,1
