Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Channing Frye,Phoenix,3,0,1,3,4-11,0-0,36:48,0,6,-5,10,3,2-6,3,0
P.J. Tucker,Phoenix,4,1,0,7,3-5,8-11,30:04,3,3,+1,14,3,0-1,10,1
Miles Plumlee,Phoenix,0,2,0,6,6-10,0-0,26:15,3,0,-18,12,0,0-0,9,0
Gerald Green,Phoenix,3,1,1,2,6-14,1-2,34:00,1,3,-13,16,0,3-7,3,3
Goran Dragic,Phoenix,5,1,0,0,7-12,9-11,33:01,0,4,+7,23,3,0-2,0,5
Marcus Morris,Phoenix,2,0,1,1,5-10,0-0,30:53,1,1,+1,11,1,1-2,2,2
Markieff Morris,Phoenix,0,0,0,3,7-16,1-3,24:34,3,5,+9,16,0,1-2,6,2
Ish Smith,Phoenix,4,0,1,1,0-5,0-0,16:41,1,3,-8,0,1,0-0,2,1
Archie Goodwin,Phoenix,1,0,0,0,0-1,1-2,5:12,1,0,-5,1,0,0-0,1,1
Alex Len,Phoenix,0,0,0,0,1-1,0-0,2:32,0,0,-4,2,0,0-0,0,1
Matt Barnes,LA Clippers,2,0,1,5,4-11,4-6,37:35,1,3,+0,13,1,1-6,6,3
Blake Griffin,LA Clippers,3,0,1,4,14-16,9-10,31:42,2,6,+9,37,1,0-0,6,6
DeAndre Jordan,LA Clippers,1,3,0,12,4-6,0-1,33:23,5,5,+13,8,0,0-0,17,1
Darren Collison,LA Clippers,4,0,1,1,8-12,3-4,40:03,0,2,+4,20,2,1-1,1,3
Chris Paul,LA Clippers,11,0,1,4,7-16,3-5,34:41,1,3,+16,17,2,0-1,5,3
Danny Granger,LA Clippers,2,1,0,2,5-11,2-3,23:16,0,3,+5,14,2,2-6,2,2
Willie Green,LA Clippers,0,0,1,1,0-3,0-0,15:04,0,2,-6,0,1,0-0,1,1
Glen Davis,LA Clippers,0,0,0,2,1-3,0-0,14:37,0,2,-6,2,0,0-0,2,1
Hedo Turkoglu,LA Clippers,2,0,0,2,0-0,1-2,9:39,0,2,+0,1,2,0-0,2,1
