Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
P.J. Tucker,Phoenix,0,0,1,3,4-11,1-2,35:52,2,4,+2,10,2,1-5,5,3
Channing Frye,Phoenix,3,0,0,7,6-12,0-0,31:31,1,3,+8,16,3,4-8,8,1
Miles Plumlee,Phoenix,0,1,0,1,4-7,0-0,24:30,2,1,-7,8,1,0-0,3,1
Goran Dragic,Phoenix,9,0,0,6,5-12,4-4,39:11,2,2,-3,14,1,0-3,8,1
Gerald Green,Phoenix,4,0,0,2,5-13,0-0,32:25,0,5,-14,12,1,2-9,2,3
Markieff Morris,Phoenix,1,0,1,4,3-9,6-8,26:26,5,1,-17,12,0,0-0,9,2
Marcus Morris,Phoenix,0,0,1,4,3-12,6-8,22:05,1,0,-20,13,1,1-6,5,0
Archie Goodwin,Phoenix,0,0,0,1,1-2,1-2,10:55,1,1,-16,3,0,0-1,2,2
Ish Smith,Phoenix,0,0,1,2,1-3,0-0,9:29,0,1,-13,2,1,0-0,2,2
Dionte Christmas,Phoenix,0,0,0,1,1-2,0-0,6:26,0,0,+5,2,0,0-0,1,0
Viacheslav Kravtsov,Phoenix,0,0,0,0,0-0,0-0,1:10,0,0,+0,0,0,0-0,0,0
LeBron James,Miami,4,1,0,5,11-14,11-11,33:21,0,0,+1,35,1,2-4,5,4
Shane Battier,Miami,0,0,1,0,2-5,0-0,16:00,1,0,+1,6,2,2-4,1,0
Chris Bosh,Miami,0,0,0,4,2-9,3-4,27:22,0,4,+2,7,1,0-0,4,2
Norris Cole,Miami,3,0,0,4,1-6,0-0,34:14,0,4,+2,2,1,0-2,4,2
Dwyane Wade,Miami,12,0,0,4,9-13,3-3,33:04,2,2,+22,21,0,0-0,6,3
Ray Allen,Miami,1,1,0,3,6-11,2-2,25:29,0,0,+17,17,2,3-8,3,2
Michael Beasley,Miami,0,0,0,5,3-8,2-2,22:40,1,2,-5,8,0,0-2,6,0
Chris Andersen,Miami,0,1,0,5,5-8,1-2,19:28,2,1,+13,11,0,0-0,7,0
Roger Mason Jr.,Miami,0,1,0,0,0-3,0-0,18:09,0,3,+9,0,2,0-1,0,0
Rashard Lewis,Miami,0,0,0,1,0-1,0-0,7:44,1,1,+13,0,0,0-1,2,1
James Jones,Miami,0,0,0,0,0-0,0-0,1:19,0,0,+0,0,0,0-0,0,0
Joel Anthony,Miami,0,0,0,0,0-1,0-0,1:10,0,0,+0,0,0,0-0,0,0
