Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Channing Frye,Phoenix,1,1,1,5,8-17,1-1,36:09,0,3,+7,22,0,5-10,5,0
P.J. Tucker,Phoenix,1,0,1,7,1-5,2-2,29:00,3,5,+8,4,1,0-0,10,2
Miles Plumlee,Phoenix,2,0,0,9,4-8,3-4,31:56,0,6,-4,11,1,0-0,9,1
Goran Dragic,Phoenix,9,0,1,4,9-20,6-8,40:50,2,1,+2,26,1,2-6,6,3
Gerald Green,Phoenix,0,1,0,1,5-12,2-2,24:50,0,4,-1,14,0,2-6,1,0
Marcus Morris,Phoenix,0,0,0,3,4-6,0-0,24:23,2,2,+0,10,1,2-4,5,2
Markieff Morris,Phoenix,2,0,1,3,3-10,2-4,15:56,2,4,+6,8,2,0-1,5,0
Leandro Barbosa,Phoenix,3,1,1,2,1-6,1-2,13:24,1,2,+2,3,0,0-0,3,2
Alex Len,Phoenix,0,0,0,1,1-3,0-0,11:55,4,1,-5,2,0,0-0,5,0
Ish Smith,Phoenix,1,0,0,0,2-5,0-0,11:38,1,2,-10,4,0,0-2,1,0
Corey Brewer,Minnesota,0,1,0,3,6-10,2-4,37:09,1,1,+2,15,1,1-2,4,1
Kevin Love,Minnesota,1,0,2,10,4-20,6-6,36:57,2,5,-4,15,0,1-5,12,0
Nikola Pekovic,Minnesota,2,2,0,4,6-16,5-5,33:23,8,1,-6,17,1,0-0,12,2
Ricky Rubio,Minnesota,8,0,0,8,2-6,3-4,34:55,0,5,+3,7,0,0-0,8,2
Kevin Martin,Minnesota,2,0,1,5,6-16,6-6,34:03,0,2,-3,20,0,2-5,5,3
Ronny Turiaf,Minnesota,2,0,0,4,2-2,1-2,14:37,0,1,+5,5,0,0-0,4,0
Alexey Shved,Minnesota,1,1,0,3,2-6,2-2,13:57,1,0,+2,7,0,1-1,4,0
J.J. Barea,Minnesota,2,0,0,0,3-6,2-2,13:05,0,0,-4,8,0,0-1,0,2
Dante Cunningham,Minnesota,1,1,0,1,1-1,1-2,11:03,0,2,+3,3,0,0-0,1,0
Chase Budinger,Minnesota,0,0,0,1,2-3,1-2,10:51,0,1,-3,6,1,1-2,1,1
