Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jermaine O'Neal,Phoenix,1,1,0,5,6-11,0-0,20:11,0,3,+0,12,1,0-0,5,1
Luis Scola,Phoenix,1,0,0,4,10-17,4-5,30:13,2,4,+0,24,0,0-1,6,1
Sebastian Telfair,Phoenix,3,0,0,1,3-4,0-0,16:04,1,1,+0,9,0,3-4,2,0
Marcin Gortat,Phoenix,0,1,0,7,5-11,2-2,30:04,3,2,+0,12,0,0-0,10,1
Shannon Brown,Phoenix,4,0,0,0,0-3,0-0,17:21,0,1,+0,0,1,0-2,0,1
P.J. Tucker,Phoenix,0,0,0,5,3-8,0-0,40:06,1,4,+0,7,0,1-5,6,0
Jared Dudley,Phoenix,2,0,0,5,2-7,2-2,41:02,3,1,+0,7,1,1-4,8,3
Goran Dragic,Phoenix,8,1,0,3,5-11,4-6,31:56,0,2,+0,16,0,2-5,3,5
Markieff Morris,Phoenix,0,0,0,1,3-6,2-2,13:03,0,2,+0,9,0,1-3,1,1
Nick Collison,Oklahoma City,2,0,0,5,5-6,0-0,19:48,4,2,+0,10,1,0-0,9,1
Kendrick Perkins,Oklahoma City,1,1,0,1,2-4,0-0,28:21,5,2,+0,4,0,0-0,6,0
Kevin Martin,Oklahoma City,2,0,0,1,2-12,1-2,29:51,0,0,+0,6,0,1-6,1,0
Thabo Sefolosha,Oklahoma City,0,1,0,2,6-9,0-0,31:33,0,1,+0,14,0,2-3,2,1
Kevin Durant,Oklahoma City,2,1,0,3,11-24,8-8,39:05,0,2,+0,30,2,0-3,3,0
Russell Westbrook,Oklahoma City,9,0,0,4,7-16,9-11,32:57,3,2,+0,24,1,1-2,7,1
Serge Ibaka,Oklahoma City,1,2,0,7,6-11,3-3,29:18,0,2,+0,16,0,1-1,7,0
Hasheem Thabeet,Oklahoma City,0,2,0,2,0-0,0-0,8:56,2,2,+0,0,1,0-0,4,1
Reggie Jackson,Oklahoma City,6,0,0,4,3-3,0-0,15:03,0,2,+0,6,1,0-0,4,1
DeAndre Liggins,Oklahoma City,0,0,0,0,0-0,0-0,1:43,0,0,+0,0,0,0-0,0,0
Jeremy Lamb,Oklahoma City,0,0,0,0,0-0,0-0,1:43,0,0,+0,0,0,0-0,0,0
Perry Jones,Oklahoma City,0,0,0,0,2-2,0-0,1:42,0,0,+0,4,0,0-0,0,0
