Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Channing Frye,Phoenix,2,2,0,1,3-8,0-0,29:27,2,1,-11,7,0,1-4,3,0
P.J. Tucker,Phoenix,1,0,0,2,1-4,0-0,20:57,0,2,-6,3,0,1-3,2,1
Miles Plumlee,Phoenix,0,1,0,3,3-8,0-0,24:35,4,2,-6,6,1,0-0,7,2
Ish Smith,Phoenix,5,0,2,8,5-15,3-4,35:35,0,1,-24,13,2,0-0,8,0
Gerald Green,Phoenix,0,0,0,2,6-15,4-4,31:47,1,2,-18,17,2,1-5,3,2
Archie Goodwin,Phoenix,1,1,2,5,6-10,3-7,27:00,2,3,-9,16,2,1-2,7,2
Markieff Morris,Phoenix,0,0,0,2,3-9,5-6,23:26,2,2,-17,11,0,0-2,4,2
Dionte Christmas,Phoenix,3,0,0,1,2-4,2-2,18:41,2,1,-13,7,0,1-2,3,0
Marcus Morris,Phoenix,2,0,0,2,2-7,0-2,17:49,0,4,-11,5,0,1-1,2,2
Alex Len,Phoenix,0,1,0,0,0-0,1-4,10:44,1,3,+0,1,0,0-0,1,2
Richard Jefferson,Utah,1,0,0,3,6-8,3-4,24:57,0,1,+13,17,1,2-3,3,0
Marvin Williams,Utah,1,0,0,5,1-5,0-0,22:06,1,0,+13,2,0,0-2,6,1
Derrick Favors,Utah,2,2,1,5,5-7,5-8,26:07,2,3,+13,15,1,0-0,7,2
Gordon Hayward,Utah,9,0,0,10,7-13,2-5,37:16,0,2,+24,17,0,1-3,10,2
Trey Burke,Utah,2,0,0,1,4-6,0-0,27:35,0,3,+14,10,0,2-3,1,2
Alec Burks,Utah,2,1,0,1,5-8,5-5,27:32,2,2,+8,15,0,0-1,3,0
Jeremy Evans,Utah,0,1,0,6,5-7,1-2,25:54,2,5,+10,11,1,0-0,8,4
Diante Garrett,Utah,2,0,1,2,6-9,0-0,21:00,0,3,+7,15,2,3-4,2,2
Enes Kanter,Utah,3,0,2,1,1-5,0-0,15:38,0,4,+9,2,0,0-0,1,1
Rudy Gobert,Utah,0,0,1,2,1-2,0-0,6:15,1,0,+1,2,0,0-0,3,0
John Lucas III,Utah,0,0,0,0,1-4,0-0,5:40,0,1,+3,3,0,1-2,0,0
