Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nicolas Batum,Portland,6,1,0,6,2-5,0-0,30:00,0,4,-20,6,1,2-4,6,0
Dorell Wright,Portland,0,0,0,5,6-12,5-5,23:35,1,1,-12,17,0,0-3,6,0
Robin Lopez,Portland,0,0,0,2,3-5,2-2,25:40,3,2,-6,8,0,0-0,5,1
Damian Lillard,Portland,4,0,1,2,7-19,3-3,31:38,0,0,-17,20,0,3-6,2,0
Wesley Matthews,Portland,0,0,2,0,6-12,2-2,27:14,0,2,-8,15,1,1-5,0,1
C.J. McCollum,Portland,0,0,1,2,3-9,4-6,17:53,1,1,-19,12,0,2-5,3,1
Thomas Robinson,Portland,1,0,2,3,3-7,0-0,16:59,2,3,-23,6,0,0-0,5,1
Victor Claver,Portland,1,0,0,3,1-3,0-0,16:24,0,1,-7,2,0,0-1,3,0
Mo Williams,Portland,3,0,1,0,1-5,1-2,13:39,1,2,-18,3,0,0-1,1,2
Meyers Leonard,Portland,0,2,1,3,0-4,0-2,13:12,0,1,-10,0,0,0-1,3,1
Allen Crabbe,Portland,1,0,0,2,2-3,0-0,10:34,0,0,+0,5,0,1-1,2,0
Earl Watson,Portland,1,0,0,0,0-0,0-0,8:39,0,0,-1,0,2,0-0,0,2
Will Barton,Portland,0,0,0,0,0-0,0-0,4:33,0,1,-9,0,0,0-0,0,0
Josh McRoberts,Charlotte,5,1,0,3,1-2,4-4,31:37,0,3,+23,6,0,0-1,3,0
Michael Kidd-Gilchrist,Charlotte,0,0,1,6,4-6,1-1,18:30,1,3,+12,9,0,0-0,7,0
Al Jefferson,Charlotte,6,2,1,6,13-22,2-2,28:41,1,2,+12,28,0,0-1,7,1
Kemba Walker,Charlotte,6,1,0,2,10-18,2-2,32:37,0,0,+15,26,1,4-5,2,0
Gerald Henderson,Charlotte,5,1,0,8,8-11,5-5,28:45,0,2,+15,23,1,2-2,8,2
Chris Douglas-Roberts,Charlotte,3,0,0,3,4-12,3-3,34:05,2,3,+19,11,1,0-5,5,1
Cody Zeller,Charlotte,0,1,1,2,1-7,1-2,16:23,5,2,+7,3,1,0-0,7,0
Bismack Biyombo,Charlotte,0,0,0,3,0-0,0-0,15:05,2,2,+16,0,1,0-0,5,0
Luke Ridnour,Charlotte,2,2,0,1,3-7,0-0,14:49,1,0,+21,6,0,0-1,2,1
Gary Neal,Charlotte,0,0,0,1,2-3,0-0,7:15,0,0,+10,4,1,0-0,1,0
Jannero Pargo,Charlotte,1,0,0,1,3-5,0-0,4:04,0,0,+0,8,0,2-3,1,0
Anthony Tolliver,Charlotte,0,0,0,1,0-1,0-0,4:04,0,1,+0,0,0,0-1,1,0
DJ White,Charlotte,0,0,0,1,0-0,0-0,4:04,0,1,+0,0,1,0-0,1,0
