Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jared Jeffries,Portland,0,0,0,2,0-1,0-0,9:58,0,0,+0,0,0,0-0,2,1
LaMarcus Aldridge,Portland,2,0,0,7,11-22,5-6,39:21,3,2,+0,27,0,0-0,10,0
J.J. Hickson,Portland,0,0,0,7,5-9,4-5,32:53,3,3,+0,14,1,0-0,10,3
Nicolas Batum,Portland,6,0,0,5,3-8,2-2,40:46,1,3,+0,9,1,1-5,6,1
Victor Claver,Portland,2,0,0,3,0-1,0-0,9:10,0,1,+0,0,0,0-1,3,0
Wesley Matthews,Portland,4,0,0,1,7-16,2-2,36:40,0,5,+0,21,3,5-12,1,1
Luke Babbitt,Portland,0,0,0,4,1-2,0-0,10:54,0,4,+0,3,0,1-2,4,0
Nolan Smith,Portland,0,0,0,0,2-5,0-0,9:04,0,0,+0,4,0,0-2,0,0
Damian Lillard,Portland,6,1,0,4,6-17,4-4,38:57,0,2,+0,19,1,3-8,4,0
Meyers Leonard,Portland,0,0,0,1,0-0,0-0,2:53,0,0,+0,0,0,0-0,1,0
Will Barton,Portland,0,0,0,1,1-3,0-0,9:24,0,0,+0,2,0,0-0,1,0
Vince Carter,Dallas,3,0,0,3,7-15,0-2,25:08,0,2,+0,17,0,3-6,3,2
Dirk Nowitzki,Dallas,2,0,0,7,7-19,1-2,34:35,1,1,+0,16,1,1-1,8,0
Elton Brand,Dallas,0,2,0,5,3-7,1-2,28:02,5,4,+0,7,0,0-0,10,0
Shawn Marion,Dallas,1,0,0,8,6-13,0-0,31:15,2,2,+0,13,1,1-2,10,0
Brandan Wright,Dallas,0,0,0,0,0-1,0-0,2:04,0,1,+0,0,0,0-0,0,0
O.J. Mayo,Dallas,5,0,0,4,11-14,3-3,39:56,0,1,+0,28,1,3-4,4,4
Darren Collison,Dallas,7,0,0,2,3-8,2-2,29:42,1,1,+0,8,0,0-2,3,1
Rodrigue Beaubois,Dallas,2,0,0,3,2-4,4-6,18:39,1,1,+0,9,0,1-2,4,1
Bernard James,Dallas,1,1,0,1,1-2,0-0,17:36,1,2,+0,2,0,0-0,2,0
Jae Crowder,Dallas,1,0,0,2,1-3,2-2,13:03,0,1,+0,5,2,1-3,2,0
