Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nicolas Batum,Portland,6,2,0,7,4-10,0-0,43:26,5,4,-7,8,1,0-3,12,7
LaMarcus Aldridge,Portland,0,2,1,8,10-27,7-10,42:06,4,3,-2,28,0,1-1,12,0
Robin Lopez,Portland,0,5,0,7,4-7,3-4,37:53,4,5,+7,11,0,0-0,11,1
Wesley Matthews,Portland,2,1,0,2,5-15,12-13,41:09,2,5,-7,26,3,4-11,4,0
Damian Lillard,Portland,4,0,0,4,7-13,4-4,33:04,0,6,-2,21,2,3-5,4,7
Mo Williams,Portland,11,0,2,1,5-15,0-0,33:12,1,5,-13,10,1,0-2,2,3
C.J. McCollum,Portland,1,0,2,3,3-8,0-0,14:46,1,1,+9,7,0,1-3,4,1
Thomas Robinson,Portland,0,0,0,0,0-0,0-2,11:21,4,3,-6,0,0,0-0,4,1
Meyers Leonard,Portland,0,0,0,2,1-1,0-0,8:03,1,2,-4,2,0,0-0,3,0
Chandler Parsons,Houston,3,1,1,6,7-15,2-2,48:59,1,5,+9,16,2,0-3,7,1
Terrence Jones,Houston,1,0,0,4,1-2,0-0,19:40,0,2,-20,2,0,0-1,4,1
Dwight Howard,Houston,1,3,2,8,5-10,7-13,38:43,4,3,+0,17,1,0-0,12,5
James Harden,Houston,6,1,4,8,12-28,10-11,47:12,2,5,+9,41,6,7-12,10,4
Patrick Beverley,Houston,0,0,0,1,4-8,4-7,36:27,1,6,-3,12,4,0-3,2,0
Jeremy Lin,Houston,1,0,3,2,7-17,10-12,34:03,1,2,+21,26,2,2-7,3,0
Omer Asik,Houston,1,0,0,2,0-0,0-0,16:12,1,2,+4,0,0,0-0,3,0
Jordan Hamilton,Houston,0,0,0,1,2-8,0-0,15:41,3,1,+1,4,0,0-3,4,1
Donatas Motiejunas,Houston,0,0,0,3,0-1,0-0,8:03,0,1,+4,0,0,0-0,3,1
