Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nicolas Batum,Portland,1,0,0,4,5-8,2-2,27:15,1,1,+8,14,1,2-3,5,1
Joel Freeland,Portland,3,1,1,6,0-4,0-0,22:58,0,1,+4,0,1,0-0,6,1
Robin Lopez,Portland,0,0,2,6,2-8,5-8,19:16,4,4,+9,9,0,0-0,10,2
Will Barton,Portland,2,0,1,9,2-6,5-5,38:05,1,2,+11,10,2,1-1,10,5
Damian Lillard,Portland,2,1,0,3,5-11,4-4,23:01,1,2,+2,16,1,2-4,4,3
Mo Williams,Portland,4,0,1,1,3-11,4-4,24:56,0,2,+2,10,1,0-5,1,6
Thomas Robinson,Portland,1,1,1,9,2-5,3-4,24:40,4,4,+4,7,0,0-0,13,2
Dorell Wright,Portland,0,0,0,4,2-5,5-6,16:01,0,2,+10,11,0,2-4,4,0
Meyers Leonard,Portland,1,0,0,1,4-4,0-0,15:03,0,2,+7,8,0,0-0,1,1
Victor Claver,Portland,1,1,1,0,2-5,0-0,14:03,0,2,-4,6,0,2-4,0,2
E.J. Singler,Portland,2,0,1,0,0-2,0-0,8:05,0,1,-4,0,0,0-0,0,3
Dee Bost,Portland,0,0,0,2,1-4,0-0,6:37,0,2,+1,3,0,1-2,2,0
Jared Dudley,LA Clippers,3,1,0,2,1-6,2-2,38:19,2,2,-7,4,0,0-2,4,2
Blake Griffin,LA Clippers,2,0,2,4,9-19,0-0,25:06,2,3,-8,18,1,0-0,6,0
DeAndre Jordan,LA Clippers,0,4,0,6,3-6,0-6,22:07,0,2,-12,6,1,0-0,6,2
Jamal Crawford,LA Clippers,4,1,1,3,2-7,0-0,29:59,0,2,-6,4,1,0-1,3,2
Chris Paul,LA Clippers,3,0,0,2,2-11,3-3,29:55,1,1,-14,7,2,0-2,3,2
Darren Collison,LA Clippers,6,0,0,1,8-16,15-16,33:47,0,2,+0,31,2,0-1,1,3
Byron Mullens,LA Clippers,0,1,0,3,1-9,2-2,23:40,1,4,-1,4,2,0-7,4,1
Antawn Jamison,LA Clippers,1,0,1,3,2-6,1-2,12:49,3,2,-4,6,1,1-2,6,0
Louis Amundson,LA Clippers,0,0,0,2,0-1,0-0,10:39,1,1,+2,0,1,0-0,3,0
Brandon Davies,LA Clippers,0,0,0,2,1-1,2-2,10:02,0,1,+2,4,0,0-0,2,0
Ryan Hollins,LA Clippers,0,1,0,0,0-0,0-0,3:38,0,1,-2,0,1,0-0,0,1
