Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Sasha Pavlovic,Portland,0,0,0,1,0-0,0-0,3:05,0,0,+0,0,1,0-0,1,0
LaMarcus Aldridge,Portland,3,0,0,4,6-19,3-4,34:16,2,5,+0,15,2,0-1,6,4
J.J. Hickson,Portland,2,0,0,9,11-15,0-0,34:58,2,2,+0,22,0,0-0,11,3
Nicolas Batum,Portland,4,0,0,7,9-14,2-3,37:34,1,2,+0,22,3,2-5,8,2
Victor Claver,Portland,0,1,0,1,1-1,0-2,13:54,0,5,+0,3,0,1-1,1,1
Wesley Matthews,Portland,8,0,0,2,5-10,1-2,35:53,0,4,+0,15,1,4-7,2,2
Nolan Smith,Portland,0,0,0,1,1-3,0-0,7:47,0,3,+0,2,1,0-0,1,0
Damian Lillard,Portland,7,0,0,3,9-22,0-0,40:16,0,3,+0,19,1,1-5,3,1
Meyers Leonard,Portland,1,1,0,2,2-3,0-0,12:49,2,4,+0,4,0,0-0,4,0
Will Barton,Portland,0,0,0,5,2-7,1-1,19:28,0,0,+0,5,0,0-1,5,1
Steve Nash,LA Lakers,6,0,0,4,2-11,0-1,33:33,1,0,+0,4,1,0-1,5,3
Kobe Bryant,LA Lakers,4,0,0,5,15-23,9-9,35:51,2,1,+0,40,2,1-3,7,5
Antawn Jamison,LA Lakers,0,0,0,3,5-12,5-6,20:57,3,1,+0,16,1,1-3,6,1
Metta World Peace,LA Lakers,2,1,0,5,4-9,1-1,35:56,1,5,+0,11,2,2-4,6,3
Steve Blake,LA Lakers,2,1,0,0,0-3,0-0,24:25,0,1,+0,0,0,0-1,0,0
Dwight Howard,LA Lakers,2,2,0,11,7-14,5-12,37:46,5,4,+0,19,1,0-0,16,2
Earl Clark,LA Lakers,0,1,0,5,4-8,2-2,30:07,0,2,+0,11,0,1-3,5,1
Jodie Meeks,LA Lakers,2,0,0,2,3-5,3-3,21:25,0,0,+0,10,1,1-3,2,1
