Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LaMarcus Aldridge,Portland,6,0,0,8,2-13,6-8,36:37,2,2,+0,10,2,0-0,10,2
J.J. Hickson,Portland,0,2,0,10,6-12,0-0,31:25,3,4,+0,12,1,0-0,13,1
Nicolas Batum,Portland,3,0,0,3,4-10,1-3,37:09,1,1,+0,10,0,1-4,4,1
Eric Maynor,Portland,4,0,0,4,3-5,4-6,25:15,0,2,+0,12,1,2-3,4,2
Victor Claver,Portland,0,1,0,1,2-5,0-0,18:23,0,1,+0,4,1,0-1,1,0
Wesley Matthews,Portland,2,0,0,1,4-11,2-4,33:46,1,3,+0,11,0,1-6,2,0
Damian Lillard,Portland,4,0,0,0,8-16,2-3,36:17,0,2,+0,20,1,2-6,0,2
Meyers Leonard,Portland,0,1,0,4,2-4,1-2,16:06,0,3,+0,5,0,0-0,4,0
Will Barton,Portland,0,0,0,0,0-0,1-2,5:02,0,0,+0,1,0,0-0,0,1
Tayshaun Prince,Memphis,5,0,0,7,3-12,0-0,35:13,2,0,+0,6,0,0-1,9,1
Tony Allen,Memphis,0,1,0,5,4-13,2-2,20:35,2,2,+0,10,1,0-1,7,0
Mike Conley,Memphis,6,2,0,3,7-11,5-6,36:05,0,3,+0,20,2,1-2,3,2
Marc Gasol,Memphis,3,1,0,7,10-17,3-6,40:50,5,4,+0,23,0,0-0,12,3
Jerryd Bayless,Memphis,1,0,0,2,5-12,0-0,25:24,0,3,+0,13,1,3-5,2,1
Austin Daye,Memphis,0,0,0,1,2-3,0-0,7:21,1,2,+0,4,0,0-0,2,1
Ed Davis,Memphis,0,2,0,4,1-4,1-2,24:36,2,4,+0,3,1,0-0,6,0
Quincy Pondexter,Memphis,1,0,0,3,2-6,0-0,22:18,1,1,+0,4,0,0-2,4,0
Dexter Pittman,Memphis,0,0,0,0,0-0,0-2,3:28,0,0,+0,0,0,0-0,0,0
Jon Leuer,Memphis,0,0,0,2,1-4,0-0,10:00,1,2,+0,2,0,0-0,3,0
Tony Wroten,Memphis,4,0,0,2,3-5,0-0,14:10,2,1,+0,6,0,0-1,4,1
