Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nicolas Batum,Portland,5,0,0,10,3-7,5-6,39:13,1,4,+8,11,0,0-2,11,4
LaMarcus Aldridge,Portland,5,1,0,5,8-20,8-10,39:07,3,4,+6,24,0,0-0,8,4
Robin Lopez,Portland,1,2,1,3,7-13,4-6,35:41,4,5,-8,18,0,0-0,7,0
Damian Lillard,Portland,4,1,2,7,13-24,8-8,37:54,0,5,-10,41,0,7-13,7,6
Wesley Matthews,Portland,3,1,0,6,3-12,2-2,36:32,0,5,+0,9,2,1-7,6,0
Mo Williams,Portland,6,0,0,1,3-9,2-2,22:01,3,5,+0,9,1,1-3,4,1
Joel Freeland,Portland,0,1,0,1,1-1,0-0,9:29,2,1,-2,2,0,0-0,3,0
Will Barton,Portland,0,0,0,0,1-3,0-0,8:49,0,1,-2,3,0,1-2,0,0
Meyers Leonard,Portland,0,0,0,4,0-1,2-2,7:37,0,4,-10,2,0,0-0,4,1
Thomas Robinson,Portland,0,0,0,0,0-0,0-0,3:37,1,3,-2,0,0,0-0,1,0
Jason Thompson,Sacramento,0,0,0,5,3-4,1-2,34:32,1,4,+0,7,2,0-0,6,1
Rudy Gay,Sacramento,4,0,0,3,10-16,9-9,30:39,2,6,+13,32,1,3-5,5,1
DeMarcus Cousins,Sacramento,2,2,5,7,13-28,9-15,42:31,6,4,+7,35,1,0-0,13,2
Isaiah Thomas,Sacramento,8,0,0,6,5-14,10-12,36:48,1,1,-6,22,2,2-6,7,0
Marcus Thornton,Sacramento,0,1,0,6,1-5,0-0,21:52,2,3,+6,3,1,1-2,8,1
Derrick Williams,Sacramento,0,0,0,5,4-7,6-10,30:47,0,2,-2,14,1,0-1,5,0
Ben McLemore,Sacramento,2,0,0,1,1-2,0-0,17:53,0,2,+0,2,0,0-0,1,0
Jimmer Fredette,Sacramento,3,0,1,1,2-5,0-0,11:14,0,1,+12,5,0,1-1,1,1
Quincy Acy,Sacramento,0,0,0,1,1-3,1-2,8:40,0,2,-13,3,1,0-0,1,2
Aaron Gray,Sacramento,1,0,0,1,0-1,0-0,5:05,0,0,+3,0,0,0-0,1,0
