Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LaMarcus Aldridge,Portland,4,0,1,9,11-27,3-7,42:22,2,1,+8,25,2,0-0,11,0
Nicolas Batum,Portland,4,2,0,5,8-15,3-3,41:19,1,3,+7,24,1,5-8,6,3
Robin Lopez,Portland,0,2,0,3,1-2,4-4,23:46,2,6,-7,6,0,0-0,5,1
Damian Lillard,Portland,8,0,0,4,10-22,2-2,41:21,1,3,-2,25,1,3-10,5,3
Wesley Matthews,Portland,1,1,0,4,6-12,1-2,39:22,2,1,+6,17,0,4-7,6,0
Mo Williams,Portland,7,0,0,3,4-7,2-2,32:37,2,3,+14,13,0,3-5,5,4
Thomas Robinson,Portland,0,1,2,1,2-8,0-0,18:09,2,1,+1,4,0,0-0,3,3
Dorell Wright,Portland,0,0,0,2,1-4,0-0,13:38,1,2,+2,2,0,0-2,3,1
Joel Freeland,Portland,1,0,0,0,1-2,0-0,12:26,2,5,+11,2,1,0-0,2,0
Rudy Gay,Toronto,0,1,2,7,12-27,5-7,41:40,3,4,-9,30,0,1-3,10,3
Amir Johnson,Toronto,4,0,0,3,3-5,2-2,34:32,4,6,-5,8,1,0-0,7,3
Jonas Valanciunas,Toronto,0,1,0,6,8-11,3-3,35:00,3,3,-4,19,0,0-0,9,3
DeMar DeRozan,Toronto,3,0,4,3,11-27,6-8,46:49,0,2,-3,29,0,1-5,3,4
Kyle Lowry,Toronto,10,0,0,7,3-11,3-4,45:16,0,3,-1,10,4,1-7,7,0
Tyler Hansbrough,Toronto,0,0,0,2,2-3,2-3,16:58,3,2,-2,6,1,0-0,5,0
Terrence Ross,Toronto,0,0,0,0,0-3,0-0,13:56,0,0,-1,0,0,0-0,0,1
Landry Fields,Toronto,0,0,0,1,1-1,1-2,8:55,1,2,-9,3,0,0-0,2,0
Dwight Buycks,Toronto,0,0,0,1,2-3,1-2,7:54,0,0,-7,5,0,0-0,1,1
Steve Novak,Toronto,0,0,0,2,0-3,0-0,7:10,0,0,+4,0,0,0-2,2,0
Quincy Acy,Toronto,0,1,0,4,0-0,0-0,6:50,1,1,-3,0,0,0-0,5,1
