Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LaMarcus Aldridge,Portland,4,0,0,3,10-18,4-4,34:13,3,0,+16,24,0,0-0,6,0
Nicolas Batum,Portland,11,1,0,8,3-5,0-0,33:12,0,1,+20,7,1,1-2,8,2
Robin Lopez,Portland,0,1,2,8,6-9,3-3,34:07,3,0,+15,15,0,0-0,11,2
Damian Lillard,Portland,3,0,1,5,5-14,7-7,34:08,0,4,-2,18,1,1-5,5,0
Wesley Matthews,Portland,3,0,0,3,6-11,3-4,34:01,0,2,+10,16,0,1-4,3,1
Mo Williams,Portland,2,1,1,1,4-12,0-0,26:08,0,3,+8,9,3,1-3,1,3
Dorell Wright,Portland,0,0,0,0,2-9,0-0,16:31,0,3,-3,6,0,2-5,0,2
Joel Freeland,Portland,0,1,0,3,0-2,2-2,13:53,1,4,-4,2,1,0-0,4,0
Thomas Robinson,Portland,0,2,1,2,4-5,0-0,13:47,4,2,-5,8,0,0-0,6,1
Jeremy Evans,Utah,2,2,1,4,3-9,0-0,37:39,4,4,-15,6,1,0-0,8,0
Richard Jefferson,Utah,1,0,0,4,4-10,5-6,32:49,2,2,+1,13,1,0-2,6,3
Enes Kanter,Utah,2,1,0,3,9-18,1-1,34:24,2,4,-15,19,2,0-0,5,1
Gordon Hayward,Utah,0,0,1,5,6-14,5-6,38:51,0,1,-14,17,1,0-3,5,2
Trey Burke,Utah,5,1,1,5,5-12,4-4,34:32,1,0,-10,15,1,1-2,6,2
Alec Burks,Utah,0,0,0,3,8-11,4-4,24:42,0,2,-9,20,0,0-0,3,2
Diante Garrett,Utah,3,0,1,1,0-4,2-2,13:28,0,0,-1,2,0,0-0,1,1
Andris Biedrins,Utah,0,0,0,6,0-0,0-0,13:14,1,1,+4,0,0,0-0,7,0
Mike Harris,Utah,0,1,2,1,1-4,0-0,10:21,1,1,+4,2,0,0-0,2,1
