Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LaMarcus Aldridge,Portland,6,1,0,10,10-18,0-0,42:07,0,2,-10,20,0,0-0,10,1
Nicolas Batum,Portland,3,0,0,3,6-12,4-4,35:59,1,1,-9,18,1,2-5,4,5
Robin Lopez,Portland,0,4,0,6,6-8,0-0,34:43,3,4,+0,12,1,0-0,9,0
Damian Lillard,Portland,8,0,3,5,8-19,7-7,37:29,1,3,-2,25,0,2-7,6,3
Wesley Matthews,Portland,3,0,0,4,4-10,0-0,36:38,0,2,-14,9,0,1-6,4,3
Mo Williams,Portland,2,0,0,3,2-8,0-1,24:41,0,3,+1,4,1,0-0,3,2
Joel Freeland,Portland,0,1,0,4,1-3,0-0,11:59,1,1,-8,2,0,0-0,5,0
C.J. McCollum,Portland,0,0,0,2,0-2,0-0,10:31,0,1,-8,0,0,0-1,2,2
Thomas Robinson,Portland,1,1,0,1,0-1,0-0,5:53,1,0,+0,0,0,0-0,2,0
Trevor Ariza,Washington,4,0,0,5,7-12,2-2,38:38,0,0,+23,20,0,4-7,5,0
Nene Hilario,Washington,1,1,3,7,5-15,3-4,30:49,0,2,+12,13,2,0-0,7,1
Marcin Gortat,Washington,5,0,1,7,3-7,0-0,35:01,4,3,+23,6,1,0-0,11,0
John Wall,Washington,5,2,0,5,7-15,6-6,36:27,0,4,+10,22,3,2-4,5,2
Bradley Beal,Washington,6,0,0,2,5-16,2-3,34:51,1,0,-5,13,0,1-3,3,0
Kevin Seraphin,Washington,0,0,0,5,7-10,5-6,22:54,0,4,-7,19,0,0-0,5,0
Martell Webster,Washington,0,0,1,1,2-6,1-1,22:31,0,2,+2,5,0,0-3,1,0
Garrett Temple,Washington,0,0,0,1,1-1,0-0,12:27,0,1,+2,2,3,0-0,1,3
Jan Vesely,Washington,1,0,2,1,0-2,0-0,6:23,0,0,-10,0,1,0-0,1,0
