Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,6,0,0,9,10-16,15-17,35:36,3,0,+5,35,1,0-1,12,3
Jason Thompson,Sacramento,0,0,1,3,4-7,0-0,19:12,1,5,+11,8,0,0-0,4,1
Aaron Gray,Sacramento,2,3,0,2,2-2,0-0,22:34,1,1,+9,4,0,0-0,3,1
Isaiah Thomas,Sacramento,6,0,1,2,8-21,0-0,42:04,0,3,+1,19,1,3-10,2,3
Marcus Thornton,Sacramento,1,0,0,0,3-9,0-0,33:39,2,1,+5,9,0,3-4,2,1
Quincy Acy,Sacramento,0,2,0,6,3-4,2-2,30:35,0,5,-22,8,1,0-0,6,1
Derrick Williams,Sacramento,1,0,0,6,1-6,3-4,23:09,1,4,-8,5,0,0-2,7,1
Ben McLemore,Sacramento,0,0,0,0,2-4,0-0,14:22,2,3,-11,4,1,0-2,2,1
Carl Landry,Sacramento,2,1,0,1,2-2,0-0,12:25,0,2,-5,4,0,0-0,1,1
Jimmer Fredette,Sacramento,2,0,0,0,3-4,0-0,6:24,0,2,-5,7,0,1-2,0,1
Dirk Nowitzki,Dallas,2,0,0,5,11-19,11-11,34:07,0,4,+8,34,2,1-3,5,1
Jae Crowder,Dallas,3,0,1,5,3-8,0-0,29:31,1,4,-3,6,2,0-3,6,0
Samuel Dalembert,Dallas,0,1,0,3,3-4,0-0,15:46,1,3,-6,6,0,0-0,4,0
Monta Ellis,Dallas,3,1,0,2,6-10,8-9,39:48,1,1,+4,20,3,0-1,3,0
Jose Calderon,Dallas,7,0,1,1,6-14,1-2,33:44,0,2,-1,14,1,1-6,1,1
Vince Carter,Dallas,1,0,0,2,2-6,0-0,26:14,1,3,+8,4,0,0-2,3,1
Brandan Wright,Dallas,0,0,0,6,4-6,2-5,25:43,4,0,+7,10,1,0-0,10,0
Devin Harris,Dallas,5,0,1,0,2-7,3-3,17:45,2,1,+6,7,0,0-3,2,0
DeJuan Blair,Dallas,0,0,3,1,1-5,4-6,12:39,2,0,-2,6,1,0-0,3,1
Shane Larkin,Dallas,0,0,0,0,0-1,0-0,4:43,0,0,-1,0,0,0-1,0,0
