Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,2,0,2,0,6-14,0-0,29:34,0,1,-23,12,3,0-1,0,2
Jason Thompson,Sacramento,0,0,0,1,0-4,1-2,19:08,1,3,-15,1,0,0-0,2,0
DeMarcus Cousins,Sacramento,2,1,1,7,12-21,7-7,30:02,6,3,-11,31,2,0-0,13,4
Marcus Thornton,Sacramento,0,0,0,2,3-7,0-0,27:50,2,2,-8,7,0,1-2,4,0
Isaiah Thomas,Sacramento,1,0,0,1,3-9,0-0,27:11,0,3,-10,7,1,1-2,1,3
Derrick Williams,Sacramento,2,1,1,2,4-11,1-4,25:13,4,2,-17,9,0,0-2,6,1
Quincy Acy,Sacramento,1,1,0,3,3-4,0-0,23:22,1,1,-9,6,0,0-0,4,2
Jimmer Fredette,Sacramento,4,0,0,4,4-10,0-0,20:49,0,0,-14,9,1,1-3,4,1
Ben McLemore,Sacramento,0,0,1,2,3-9,0-0,18:51,1,3,-14,7,0,1-2,3,0
Aaron Gray,Sacramento,0,0,0,3,1-2,1-4,10:24,0,3,+2,3,1,0-0,3,1
Travis Outlaw,Sacramento,1,2,0,0,0-1,0-0,7:36,0,0,-1,0,0,0-1,0,1
Paul George,Indiana,2,0,0,3,10-18,7-8,34:11,0,2,+19,31,1,4-7,3,5
David West,Indiana,3,0,0,6,7-11,2-2,27:36,2,1,+8,16,1,0-0,8,3
Roy Hibbert,Indiana,2,2,0,3,4-8,2-3,27:56,1,3,+11,10,1,0-0,4,1
Lance Stephenson,Indiana,5,0,0,4,5-7,3-4,29:54,1,0,+11,13,1,0-1,5,2
George Hill,Indiana,3,0,1,1,4-9,0-0,26:43,4,0,+11,9,0,1-2,5,0
Danny Granger,Indiana,2,1,1,3,3-8,2-2,21:21,0,3,+20,9,0,1-4,3,0
Ian Mahinmi,Indiana,1,1,0,3,0-1,2-2,20:04,1,4,+13,2,2,0-0,4,2
C.J. Watson,Indiana,3,0,0,3,5-6,0-0,16:26,0,0,+16,10,1,0-1,3,0
Luis Scola,Indiana,2,0,1,5,4-6,1-2,15:33,2,2,+19,9,0,0-0,7,0
Rasual Butler,Indiana,0,1,0,0,1-3,0-0,6:42,0,0,+1,2,0,0-1,0,0
Chris Copeland,Indiana,1,0,1,1,2-3,0-0,4:51,0,2,-3,4,0,0-0,1,0
Donald Sloan,Indiana,0,0,1,1,0-2,0-0,4:51,0,0,-3,0,0,0-0,1,0
Orlando Johnson,Indiana,0,0,0,2,0-0,1-2,3:52,0,0,-3,1,0,0-0,2,0
