Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,5,1,4,4,11-22,9-9,40:38,3,3,-3,32,2,1-4,7,2
Derrick Williams,Sacramento,2,0,3,8,10-20,6-10,39:31,4,0,-3,26,2,0-2,12,0
Jason Thompson,Sacramento,2,0,1,7,8-12,1-2,29:04,4,4,-14,17,1,0-0,11,1
Isaiah Thomas,Sacramento,8,2,0,1,10-16,4-5,32:15,0,2,-6,26,1,2-2,1,5
Ben McLemore,Sacramento,2,0,0,2,0-4,0-0,29:39,0,3,-5,0,2,0-4,2,1
Ray McCallum,Sacramento,5,0,0,1,3-7,0-0,22:38,0,2,+1,7,0,1-1,1,0
Reggie Evans,Sacramento,2,0,2,5,3-7,2-4,18:56,4,1,+10,8,3,0-0,9,1
Orlando Johnson,Sacramento,2,0,0,1,1-2,1-2,13:42,0,0,-3,4,0,1-2,1,0
Quincy Acy,Sacramento,1,0,1,0,1-3,0-0,13:37,0,1,+3,2,0,0-0,0,1
Wesley Johnson,LA Lakers,3,3,0,11,5-10,0-0,36:29,1,4,+11,12,1,2-4,12,0
Kent Bazemore,LA Lakers,0,2,1,5,5-11,0-0,26:52,1,2,-6,12,2,2-4,6,2
Pau Gasol,LA Lakers,6,2,0,5,10-17,2-4,38:57,0,2,+6,22,0,0-0,5,5
Jodie Meeks,LA Lakers,4,0,0,0,8-8,3-4,33:04,0,0,-1,22,0,3-3,0,1
Kendall Marshall,LA Lakers,10,0,0,1,0-2,0-0,19:12,0,4,-1,0,0,0-2,1,4
Jordan Farmar,LA Lakers,7,0,1,0,9-14,4-5,28:48,0,2,+5,30,1,8-10,0,1
MarShon Brooks,LA Lakers,4,0,1,2,9-13,2-3,25:45,0,3,+5,23,1,3-3,2,3
Ryan Kelly,LA Lakers,1,2,0,4,2-2,0-0,15:52,0,1,+16,5,0,1-1,4,0
Jordan Hill,LA Lakers,0,0,0,1,0-1,0-0,5:58,0,2,-13,0,0,0-0,1,0
Robert Sacre,LA Lakers,0,1,0,0,0-0,0-0,5:11,0,3,+8,0,0,0-0,0,0
Chris Kaman,LA Lakers,0,1,0,0,0-2,0-0,3:52,0,2,-10,0,0,0-0,0,1
