Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,6,1,1,6,7-13,0-2,34:38,0,3,-24,14,3,0-3,6,7
Jason Thompson,Sacramento,1,0,0,2,5-6,1-2,21:51,1,1,-18,11,0,0-0,3,1
DeMarcus Cousins,Sacramento,5,0,0,7,11-15,5-8,31:52,1,2,-10,27,2,0-0,8,3
Isaiah Thomas,Sacramento,7,0,1,2,4-11,2-5,35:36,0,2,-9,11,1,1-6,2,3
Ben McLemore,Sacramento,1,0,1,2,8-13,0-0,32:37,2,2,-13,20,1,4-7,4,2
Derrick Williams,Sacramento,3,0,0,2,3-5,1-5,27:27,0,2,-16,7,3,0-1,2,0
Travis Outlaw,Sacramento,1,0,0,2,2-4,0-0,23:02,0,3,+3,6,2,2-3,2,0
Quincy Acy,Sacramento,0,0,0,1,2-3,1-2,14:45,1,0,-2,5,0,0-1,2,0
Marcus Thornton,Sacramento,0,0,0,0,1-2,0-0,9:13,2,1,-2,2,2,0-0,2,1
Ray McCallum,Sacramento,1,0,0,1,0-2,0-0,5:06,0,0,+4,0,0,0-1,1,1
Jimmer Fredette,Sacramento,0,0,0,0,0-0,0-0,3:53,0,0,-8,0,0,0-0,0,2
LeBron James,Miami,8,1,0,4,8-11,1-2,30:40,2,1,+14,18,1,1-2,6,1
Shane Battier,Miami,1,0,0,4,3-7,0-0,24:20,0,1,+6,9,0,3-7,4,0
Chris Bosh,Miami,1,0,0,6,11-16,3-3,25:27,2,1,+15,25,1,0-0,8,3
Mario Chalmers,Miami,5,1,0,1,5-7,5-6,32:54,0,5,+19,16,4,1-2,1,4
Dwyane Wade,Miami,5,0,0,4,9-16,0-1,30:55,1,1,+28,20,3,2-3,5,2
Ray Allen,Miami,5,0,0,1,8-13,0-0,26:03,0,4,+2,18,1,2-6,1,4
Chris Andersen,Miami,0,0,0,6,3-5,0-0,20:47,1,2,+7,6,2,0-1,7,0
Rashard Lewis,Miami,2,0,1,2,2-4,0-0,19:15,1,0,+5,5,1,1-1,3,0
Norris Cole,Miami,5,0,0,1,2-3,0-0,17:58,0,1,+9,4,1,0-0,1,2
Roger Mason Jr.,Miami,0,0,0,1,0-1,0-0,5:06,0,0,-4,0,1,0-1,1,0
Udonis Haslem,Miami,0,1,0,2,0-0,0-0,3:47,0,0,-1,0,0,0-0,2,1
James Jones,Miami,0,0,0,0,0-0,1-2,1:42,0,0,-4,1,0,0-0,0,0
Joel Anthony,Miami,0,0,0,0,0-0,0-0,1:06,0,0,-1,0,0,0-0,0,0
