Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,5,0,1,5,16-25,4-6,42:28,3,5,+12,41,0,5-8,8,3
Jason Thompson,Sacramento,1,1,1,6,5-8,1-1,35:54,2,6,+25,11,0,0-0,8,1
DeMarcus Cousins,Sacramento,6,4,0,9,6-10,6-9,29:16,2,3,+21,18,3,0-0,11,3
Isaiah Thomas,Sacramento,11,0,2,3,6-17,5-6,38:57,0,2,+25,20,3,3-8,3,4
Marcus Thornton,Sacramento,1,2,1,0,3-7,0-0,28:51,1,3,+29,6,0,0-3,1,1
Quincy Acy,Sacramento,1,1,0,4,1-4,1-4,23:23,6,3,-10,3,0,0-0,10,0
Derrick Williams,Sacramento,0,0,1,1,3-5,2-3,22:49,0,1,-6,8,1,0-1,1,0
Jimmer Fredette,Sacramento,0,1,0,0,2-3,0-0,7:29,0,1,-7,5,0,1-1,0,0
Ben McLemore,Sacramento,0,1,0,1,0-1,0-0,7:01,0,1,-2,0,0,0-0,1,0
Aaron Gray,Sacramento,0,0,0,2,0-1,2-2,2:18,1,0,-1,2,0,0-0,3,0
Ray McCallum,Sacramento,0,0,1,0,0-1,0-0,1:34,0,0,-1,0,0,0-0,0,0
Anthony Davis,New Orleans,2,4,1,4,4-12,8-11,36:37,2,3,-27,16,2,0-0,6,4
Al-Farouq Aminu,New Orleans,0,0,1,3,3-5,2-3,25:17,1,4,-31,9,1,1-1,4,1
Greg Stiemsma,New Orleans,1,0,0,2,0-2,0-0,11:09,1,3,-14,0,0,0-0,3,1
Brian Roberts,New Orleans,6,0,0,2,6-10,3-3,29:30,0,0,-13,15,0,0-2,2,0
Eric Gordon,New Orleans,1,0,1,1,2-6,2-4,27:05,0,2,-16,7,1,1-2,1,3
Jeff Withey,New Orleans,2,2,0,3,5-6,4-5,27:07,2,5,+14,14,2,0-0,5,0
Tyreke Evans,New Orleans,3,0,6,2,6-15,5-6,26:13,1,4,-7,17,0,0-2,3,3
Austin Rivers,New Orleans,2,0,1,2,4-8,2-6,24:24,1,0,-2,12,0,2-2,3,0
Darius Miller,New Orleans,0,0,0,4,1-2,0-0,16:47,0,3,+19,3,1,1-2,4,0
Alexis Ajinca,New Orleans,1,1,0,3,2-3,0-0,15:51,1,4,-8,4,1,0-0,4,2
